question,options,answer,explanation
"Eileen is planning a special birthday dinner for her husband's 35th birthday. She wants the evening to be memorable, but her husband is a simple man who would rather be in jeans at a baseball game than in a suit at a fancy restaurant. Which restaurant below should Eileen choose?","[""Alfredo's offers fine Italian cuisine and an elegant Tuscan decor. Patrons will feel as though they've spent the evening in a luxurious Italian villa."", ""Pancho's Mexican Buffet is an all-you-can-eat family style smorgasbord with the best tacos in town."", 'The Parisian Bistro is a four-star French restaurant where guests are treated like royalty. Chef Dilbert Olay is famous for his beef bourguignon.', ""Marty's serves delicious, hearty meals in a charming setting reminiscent of a baseball clubhouse in honor of the owner,Marty Lester, a former major league baseball all-star.""]",D,"Since Eileen's husband does not enjoy fancy restaurants, choices a and c can be ruled out. Choice b, although casual, doesn't sound as though it would be the kind of special and memorable evening that Eileen is looking for. Choice d, which is owned by a former baseball star  and is described as ""charming"" and ""reminiscent of a baseball clubhouse"", sounds perfect for Eileen's husband, who is described as a baseball fan and a man with simple tastes."
"The film director wants an actress for the lead role of Lucy who perfectly fits the description that appears in the original screenplay. He is not willing to consider actresses who do not resemble the character as she is described in the screenplay, no matter how talented they are. The screenplay describes Lucy as an average-sized, forty  something redhead, with deep brown eyes, very fair skin, and a brilliant smile. The casting agent has four actresses in mind.Actress #1is a stunning red-haired beauty who is 5'9"" and in her mid-twenties. Her eyes are brown and she has an olive complexion.Actress #2has red hair, big brown eyes, and a fair complexion. She is in her mid-forties and is 5'5"".Actress #3is 5'4"" and of medium build. She has red hair, brown eyes, and is in her early forties.Actress #4is a blue-eyed redhead in her early thirties. She's of very slight build and stands at 5'.","['1, 2', '2, 3', '1, 4', '2, 4']",B,"Actresses #2 and #3 possess most of the required traits. They both have red hair and brown eyes, are average-sized, and are in their forties. Actress #1 is very tall and is only in her mid-twenties. She also has an olive complexion. Actress #4 is of very slight build and is in her early thirties. She also has blue eyes."
"The school principal has received complaints from parents about bullying in the school yard during recess. He wants to investigate and end this situation as soon as possible, so he has asked the recess aides to watch closely. Which situation should the recess aides report to the principal?","['A girl is sitting glumly on a bench reading a book and not interacting with her peers.', 'Four girls are surrounding another girl and seem to have possession of her backpack.', 'Two boys are playing a one-on-one game of basketball and are arguing over the last basket scored.', ""Three boys are huddled over a handheld video game, which isn't supposed to be on school grounds.""]",B,"Seeing four girls surrounding another girl, while in possession of her backpack, is the most suspicious of the incidents described."
"Mrs. Carson took a taxi to meet her three friends for lunch. They were waiting for her outside the restaurant when she pulled up in the car. She was so excited to see her friends that she left her tote bag in the taxi. As the taxi pulled away, she and her friends took notice of the license plate number so they would be able to identify the car when they called the taxi company.#1: The four women seem to agree that the plate starts out with the letter J.#2: Three of them agree that the plate ends with 12L.#3: Three of them think that the second letter is X, and a different three think that the third letter is K.The four license plate numbers below represent what each of the four women thinks she saw. Which one is most likely the license plate number of the taxi?","['JXK 12L', 'JYK 12L', 'JXK 12I', 'JXX 12L']",A,"The four women seem to agree that the plate starts out with the letter J. Three of them agree that the plate ends with 12L. Three of them think that the second letter is X, and a different three think that the third letter is K. The plate description that has all of these common elements  is""Option A""."
"Zachary has invited his three buddies over to watch the basketball game on his wide-screen television. They are all hungry, but no one wants to leave to get food. Just as they are arguing about who should make the food run, a commercial comes on for a local pizze-ria that delivers. The phone number flashes on the screen briefly and they all try to remember it. By the time Zachary grabs a pen and paper, each of them recollects a different number.#1: All of the men agree that the first three numbers are 995.#2: Three of them agree that the fourth number is 9.#3: Three agree that the fifth number is 2.#4: Three agree that the sixth number is 6; three others agree that the seventh number is also 6.Which of the numbers is most likely the telephone number of the pizzeria?","['995-9266', '995-9336', '995-9268', '995-8266']",A,"All of the men agree that the first three numbers are  995. Three of them agree that the fourth number is 9. Three agree that the fifth number is 2. Three agree that the sixth number is 6; three others agree that the seventh number is also 6.""Option A""is the best choice because it is made up  of the numbers that most of the men agree they saw."
"Mark is working with a realtor to find a location for the toy store he plans to open in his town. He is looking for a place that is either in, or not too far from, the center of town and one that would attract the right kind of foot traffic. Which of the following locations should Mark's realtor call to his attention?","['a storefront in a new high-rise building near the train station in the center of town whose occupants are mainly young, childless professionals who use the train to commute to their offices each day.', ""a little shop three blocks away from the town's main street, located across the street from an elementary school and next door to an ice cream store"", ""a stand-alone storefront on a quiet residential street ten blocks away from the town's center"", 'a storefront in a small strip mall located on the outskirts of town that is also occupied by a pharmacy and a dry cleaner']",B,This option is both near the center of town and in a location (near a school and an ice cream store) where children and their parents are sure to be around. This is the only option that meets both of Mark's requirements.
"The neighborhood block association has received many complaints about people knocking on doors and soliciting money for an unknown charity organization even though door-to-door solicitation is prohibited by local laws. Three residents have provided descriptions of individuals who have come to their door asking for money.Solicitor #1is a white male, 20-25 years old,
5'9"", 145 pounds, with very short brown hair.
He was wearing a dark blue suit and carrying
a brown leather briefcase.Solicitor #2is a white male, 25-30 years old,
6'2"", 200 pounds, with a shaved-head. He was
wearing a red T-shirt and jeans.Solicitor #3is a white male, approximately
23 years old, 5'10"", slight build, with short
brown hair. He was wearing a blue suit.Three days after the block association meet-
ing, a resident noticed a man knocking on
doors in the neighborhood and phoned the
police to report the illegal activity. This solic-
itor was described as follows:Solicitor #4is a white male, 22 years old, 140
pounds, about 5'10"", with short brown hair.
He was carrying a briefcase and wearing a
dark suit.Based on this description, which of the three
solicitations was also likely carried out by
Solicitor #4?","['#1, #2, and #3', '#1, but not #2 and #3', '#1 and #3, but not #2', '#1 and #2, but not #3']",C,"The solicitor described as #2 has a shaved head and  is much taller and heavier than the solicitors described as #1 and #3. Therefore, choices a and d, which include #2, can be ruled out. Solicitors #1, #3, and #4 have such similar descriptions that the correct answer is clearly choice c."
"Rita, an accomplished pastry chef who is well known for her artistic and exquisite wedding cakes, opened a bakery one year ago and is surprised that business has been so slow. A consultant she hired to conduct market research has reported that the local population doesn't think of her shop as one they would visit on a daily basis but rather a place they'd visit if they were celebrating a special occasion. Which of the following strategies should Rita employ to increase her daily business?","['making coupons available that entitle the coupon holder to receive a 25% discount on wedding, anniversary, or birthday cakes', 'exhibiting at the next Bridal Expo and having pieces of one of her wedding cakes available for tasting', 'placing a series of ads in the local newspaper that advertise the wide array of breads', 'moving the bakery to the other side of town']",C,This is the only option that would encourage people to think of the bakery as a shop they would visit regularly and not just on special occasions.
"Dr. Miller has a busy pediatric dentistry practice and she needs a skilled, reliable hygienist to keep things running smoothly. The last two people she hired were recommended by top dentists in the area, but they each lasted less than one month. She is now in desperate need of a hygienist who can competently handle the specific challenges of her practice. Which one of the following candidates should Dr. Miller consider most seriously?","['Marilyn has been a hygienist for fifteen years, and her current employer, who is about to retire, says she is the best in the business. The clientele she has worked with consists of some of the wealthiest and most powerful citizens in the county.', 'Lindy recently graduated at the top of her class from one of the best dental hygiene programs in the state. Prior to becoming a dental hygienist, Lindy spent two years working in a day care center.', 'James has worked as a dental hygienist for three years in a public health clinic. He is very interested in securing a position in a private dental office.', 'Kathy is an experienced and highly recommended dental hygienist who is also finishing up a degree in early childhood education, which she hopes will get her a job as a preschool teacher. She is eager to find a job in a pediatric practice, since she has always wanted to work with children.']",B,"The situation described indicates that Dr. Miller's  practice presents some specific challenges, namely that it is a busy environment with a child clientele. There is also some indication that even highly recommended, experienced hygienists might not be cut out for Dr. Miller's office. There is nothing to suggest that Marilyn (choice a) or James (choice c) would be a good fit for Dr.Miller's practice. Kathy (choice d) has experience and she  is also interested in working with children. However, the fact that she hopes  to become a preschool teacher in the not-too-distant future indicates that she might not be the kind of committed, long-term employee that Dr. Miller needs. Lindy (choice b), with her hands-on experience working with children as well as  a degree from a prestigious dental hygiene program, is the most attractive candidate for the position based on the situation described"
"Mrs. Jansen recently moved to Arizona. She wants to fill her new backyard with flowering plants. Although she is an experienced gardener, she isn't very well-versed in what plants will do well in the Arizona climate. Also, there is a big tree in her backyard making for shady conditions and she isn't sure what plants will thrive without much direct sunlight. Her favorite gardening catalog offers several backyard seed packages. Which one should Mrs. Jansen choose?","['The Rainbow Collection is ideal for North-east gardens. It includes a variety of colorful perennials that thrive in cool, moist conditions.', 'The Greenhouse Collection will blossom year after year if planted in brightly lit locations and watered regularly.', 'The Treehouse Collection will provide lush green plants with delicate colorful flowers that thrive in shady and partially shady locations.', 'The Oasis Collection includes a variety of perennials that thrive in dry climates and bright sunlight.']",C,The Treehouse Collection is the only package that can thrive in shady locations. Choice a requires a Northeastern climate. Choices b and d require bright sunlight.
