question,options,answer,explanation
"Which of the following diagrams indicates the best relation between Travelers, Train and Bus ?","['', '', '', '']",C,Bus and Train are different from each other but some travelers travel by bus and some travel by train.
"Which of the following diagrams indicates the best relation between Profit, Dividend and Bonus ?","['', '', '', '']",B,Bonus and Dividend are different from each other. But both these are parts of profit.
"Which of the following diagrams indicates the best relation between Iron, Lead and Nitrogen ?","['', '', '', '']",B,All these three elements are different from each other
"Which of the following diagrams indicates the best relation between Examination, Questions and Practice ?","['', '', '', '']",C,Some questions are asked in examination and some in practice but examination and practice are different from each other.
"Which of the following diagrams indicates the best relation between Bulb, Lamp and Light ?","['', '', '', '']",C,Bulb and Lamp are different from each other but light is obtained from both.
"Which of the following diagrams indicates the best relation between Lion, Dog and Snake ?","['', '', '', '']",C,All the three are different from each other.
"Which of the following diagrams indicates the best relation between Moon, Sun and Earth ?","['', '', '', '']",C,All the three are different from each other.
"Which of the following diagrams indicates the best relation between Hospital, Nurse and Patient ?","['', '', '', '']",C,Hospital consists of nurse and patient but nurse and patient are of two different nature.
"Which of the following diagrams indicates the best relation between Mercury, Zinc and Metal ?","['', '', '', '']",B,Mercury and Zinc both are different from one another but belong to metal.
"Which of the following diagrams indicates the best relation between Teacher, Writer and Musician ?","['', '', '', '']",A,A teacher may or may not be a writer and musician. Similarly a musician may or may not be a teacher and writer and so a writer may or may not be a teacher and musician.
"Which of the following diagrams indicates the best relation between Boys, Girls and Students ?","['', '', '', '']",D,
"Which of the following diagrams indicates the best relation between Tall man, Black haired people and Indians ?","['', '', '', '']",A,
"Which of the following diagrams indicates the best relation between Women, Mothers and Engineers ?","['', '', '', '']",A,All mothers are women and some mothers and some women may be engineers.
"Which of the following diagrams indicates the best relation between Furniture, Chairs and Tables ?","['', '', '', '']",C,Chairs and tables both are furniture but no chair is table.
"Which of the following diagrams indicates the best relation between Elephant, Carnivorous and Tiger ?","['', '', '', '']",D,Tiger is carnivorous but Elephant is different from these two.
"Which of the following diagrams indicates the best relation between Vegetables, Tomato and Fruits ?","['', '', '', '']",A,No answer description is available.Let's discuss.
"Which of the following diagrams indicates the best relation between Class, Blackboard and School ?","['', '', '', '']",C,Blackboard is in class and class is in the school.
"Which of the following diagrams indicates the best relation between Rabi-Crop, Paddy and Wheat ?","['', '', '', '']",A,Wheat and Paddy are different from each other but Wheat is the Rabi-Crop.
"Which of the following diagrams indicates the best relation between Ass, Pet and Horse ?","['', '', '', '']",D,Ass and Horse are different from each other but both are pet.
"Which of the following diagrams indicates the best relation between Page, Chapter and Book ?","['', '', '', '']",D,Page is in Chapter and Chapter is in book.
"Which of the following diagrams indicates the best relation between Parents, Mother and Father ?","['', '', '', '']",C,Father and mother are parents but father and mother are two opposite sexes.
"Which of the following diagrams indicates the best relation between Men, Rodents and Living beings ?","['', '', '', '']",C,Men and Rodents are different from one another but both these belong to living beings.
"Which of the following diagrams indicates the best relation between Elephants, Wolves and Animals ?","['', '', '', '']",B,Elephant and Wolves bear no relationship to each other while both are animals.
"Which of the following diagrams indicates the best relation between Factory, Product and Machinery ?","['', '', '', '']",D,Product and Machinery are different from each other but both are found in Factory.
"Which of the following diagrams indicates the best relation between dogs, pet animals and animals ?","['', '', '', '']",C,Some dogs are pet animals but dogs and pet both are animals.
"Which of the following diagrams indicates the best relation between Teacher, Parents and Guardians ?","['', '', '', '']",B,No answer description is available.Let's discuss.
"Which of the following diagrams indicates the best relation between Sailor, Ship and Ocean ?","['', '', '', '']",B,As ship is in the ocean in the same way sailor is in the ship.
"Which of the following diagrams indicates the best relation between Gold, Metal and Zinc ?","['', '', '', '']",D,Gold and Zinc are different from each other but both are metal.
"Which of the following diagrams indicates the best relation between Professors, Doctors and Men ?","['', '', '', '']",C,Some doctors may be professors and vice-versa.Some professors may be men and vice-versa.Some doctors may be men and vice-versa.Some doctors may be men and professors as well.
"Which of the following diagrams indicates the best relation between Teacher, Men and Women ?","['', '', '', '']",D,Men and Women are different from each other but some men may be teachers and some women may be teachers.
"Which of the following diagrams indicates the best relation between Oil, Wick and Lamp ?","['', '', '', '']",D,Oil and Wick are different from each other but they both are used in lamp.
"Which of the following diagrams indicates the best relation between Football, Player and Field ?","['', '', '', '']",C,"Football, Players and Field all are different."
"Which of the following diagrams indicates the best relation between Sweets, Rasagulla and Apple ?","['', '', '', '']",A,Rasagulla is one of the sweets while apple is different from these.
"Which of the following diagrams indicates the best relation between Mammal, Cow and Bat ?","['', '', '', '']",B,Cow and Bat are different from each other but both are mammal.
"Which of the following diagrams indicates the best relation between Author, Lawyer and Singer ?","['', '', '', '']",B,All the three are different professions.
"Which of the following diagrams indicates the best relation between Paper, Stationery and Ink ?","['', '', '', '']",A,Paper and Ink are different from one another but both these belong to stationery.
"Which of the following diagrams indicates the best relation between Judge, Thieves and Criminals ?","['', '', '', '']",B,All the thieves are criminals while judge is different from these.
"Which of the following diagrams indicates the best relation between India, Haryana and World ?","['', '', '', '']",D,Haryana is in India and India is in the World.
"Which of the following diagrams indicates the best relation between Pigeon, Bird and Dog ?","['', '', '', '']",A,All the pigeons are birds while dog is different from these.
"Which of the following diagrams indicates the best relation between Earth, Sea and Sun ?","['', '', '', '']",A,Sea is a part of Earth while Sun is different from these two.
"Which of the following diagrams indicates the best relation between Hockey, Football and Cricket ?","['', '', '', '']",B,All these three games are different from each other.
