question,options,answer,explanation
Which word does NOT belong with the others?,"['parsley', 'basil', 'dill', 'mayonnaise']",D,"Parsley, basil, and dill are types of herbs. Mayonnaise is not an herb."
Which word does NOT belong with the others?,"['inch', 'ounce', 'centimeter', 'yard']",B,An ounce measures weight; the other choices measure length.
Which word does NOT belong with the others?,"['tape', 'twine', 'cord', 'yarn']",A,"The yarn, twine, and cord are all used for tying. The tape is not used in the same way."
Which word does NOT belong with the others?,"['leopard', 'cougar', 'elephant', 'lion']",C,"A leopard, cougar, and lion all belong to the cat family; an elephant does not."
Which word does NOT belong with the others?,"['couch', 'rug', 'table', 'chair']",B,"The couch, table, and chair are pieces of furniture; the rug is not."
Which word does NOT belong with the others?,"['cornea', 'retina', 'pupil', 'vision']",D,"The cornea, retina, and pupil are all parts of the eye."
Which word does NOT belong with the others?,"['noun', 'preposition', 'punctuation', 'adverb']",C,"The noun, preposition, and adverb are classes of words that make up a sentence. Punctuation belongs in a sentence, but punctuation is not a class of word."
Which word does NOT belong with the others?,"['book', 'index', 'glossary', 'chapter']",A,"An index, glossary, and chapter are all parts of a book. Choice a does not belong because the book is the whole, not a part."
Which word does NOT belong with the others?,"['unimportant', 'trivial', 'insignificant', 'familiar']",D,The first three choices are all synonyms.
Which word does NOT belong with the others?,"['tyre', 'steering wheel', 'engine', 'car']",D,"Tyre, steering wheel, and engine are all parts of a car."
Which word does NOT belong with the others?,"['tulip', 'rose', 'bud', 'daisy']",C,"Tulip, rose, and daisy are all types of flowers. A bud is not."
Which word does NOT belong with the others?,"['rye', 'sourdough', 'pumpernickel', 'loaf']",A,"Loaf, sourdough, and pumpernickel are types of bread. A rye is not a bread type.Loaf - Bread that is shaped and baked in one piece and usually sliced before being eaten.Pumpernickel - Dark, dense German bread made from coarsely ground whole-grain rye.Sourdough - Leaven for making bread, consisting of fermenting dough, typically that left over from a previous batch.Rye - A wheatlike cereal plant that tolerates poor soils and low temperatures."
Which word does NOT belong with the others?,"['guitar', 'flute', 'violin', 'cello']",B,"The guitar, violin, and cello are stringed instruments; the flute is a wind instrument."
Which word does NOT belong with the others?,"['dodge', 'flee', 'duck', 'avoid']",B,"Dodge, duck, and avoid are all synonyms meaning evade. Flee means to run away from."
Which word does NOT belong with the others?,"['branch', 'dirt', 'leaf', 'root']",B,"A branch, leaf, and root are all parts of a tree. The dirt underneath is not a part of the tree."
Which word does NOT belong with the others?,"['street', 'freeway', 'interstate', 'expressway']",A,"Freeway, interstate, and expressway are all high- speed highways; a street is for low-speed traffic."
Which word does NOT belong with the others?,"['heading', 'body', 'letter', 'closing']",C,"Heading, body, and closing are all parts of a letter;  the letter is the whole, not a part."
