question,options,answer,explanation
"In the first 10 overs of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 overs to reach the target of 282 runs?","['6.25', '6.5', '6.75', '7']",A,Required run rate =282 - (3.2 x 10)=250= 6.254040Video Explanation:https://youtu.be/GhK9d8tcqvA
"A family consists of two grandparents, two parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 years. What is the average age of the family?","['284years7', '315years7', '321years7', 'None of these']",B,Required average=67 x 2 + 35 x 2 + 6 x 32 + 2 + 3=134 + 70 + 187=2227= 315years.7Video Explanation:https://youtu.be/OXLnoItd0MA
"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is:","['17 kg', '20 kg', '26 kg', '31 kg']",D,"Let A, B, C represent their respective weights. Then, we have:A + B + C = (45 x 3) = 135 .... (i)A + B = (40 x 2) = 80 .... (ii)B + C = (43 x 2) = 86 ....(iii)Adding (ii) and (iii), we get: A + 2B + C = 166 .... (iv)Subtracting (i) from (iv), we get : B = 31.B's weight = 31 kg."
The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,"['47.55 kg', '48 kg', '48.55 kg', '49.25 kg']",C,Required average=50.25 x 16 + 45.15 x 816 + 8=804 + 361.2024=1165.2024= 48.55
A library has an average of 510 visitors on Sundays and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is:,"['250', '276', '280', '285']",D,"Since the month begins with a Sunday, to there will be five Sundays in the month.Required average=510 x 5 + 240 x 2530=855030= 285"
"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:","['53.33', '54.68', '55', 'None of these']",B,Required average=55 x 50 + 60 x 55 + 45 x 6055 + 60 + 45=2750 + 3300 + 2700160=8750160= 54.68
A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half (1/2). The number of pupils in the class is:,"['10', '20', '40', '73']",C,Let there bexpupils in the class.Total increase in marks =xx1=x22x= (83 - 63)x= 20x= 40.22
"A grocer has a sale of Rs. 6435, Rs. 6927, Rs. 6855, Rs. 7230 and Rs. 6562 for 5 consecutive months. How much sale must he have in the sixth month so that he gets an average sale of Rs. 6500?","['Rs. 4991', 'Rs. 5991', 'Rs. 6001', 'Rs. 6991']",A,Total sale for 5 months = Rs. (6435 + 6927 + 6855 + 7230 + 6562) = Rs. 34009.Required sale = Rs. [ (6500 x 6) - 34009 ]= Rs. (39000 - 34009)= Rs. 4991.Video Explanation:https://youtu.be/tP4hszReksU
"The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?","['0', '1', '10', '19']",D,Average of 20 numbers = 0.Sum of 20 numbers (0 x 20) = 0.It is quite possible that 19 of these numbers may be positive and if their sum isathen 20th number is (-a).
"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?","['23 years', '24 years', '25 years', 'None of these']",A,"Let the average age of the whole team byxyears.11x- (26 + 29) = 9(x-1)11x- 9x= 462x= 46x= 23.So, average age of the team is 23 years."
The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs. 5200. The monthly income of P is:,"['3500', '4000', '4050', '5000']",B,"Let P, Q and R represent their respective monthly incomes. Then, we have:P + Q = (5050 x 2) = 10100 .... (i)Q + R = (6250 x 2) = 12500 .... (ii)P + R = (5200 x 2) = 10400 .... (iii)Adding (i), (ii) and (iii), we get:  2(P + Q + R) = 33000  or   P + Q + R = 16500 .... (iv)Subtracting (ii) from (iv), we get P = 4000.P's monthly income = Rs. 4000."
"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:","['35 years', '40 years', '50 years', 'None of these']",B,"Sum of the present ages of husband, wife and child = (27 x 3 + 3 x 3) years = 90 years.Sum of the present ages of wife and child = (20 x 2 + 5 x 2) years = 50 years.Husband's present age = (90 - 50) years = 40 years."
"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per litre for three successive years. What approximately is the average cost per litre of petrol if he spends Rs. 4000 each year?","['Rs. 7.98', 'Rs. 8', 'Rs. 8.50', 'Rs. 9']",A,Total quantity of petrolconsumed in 3 years=4000+4000+4000litres7.5088.50= 40002+1+2litres15817=76700litres51Total amount spent = Rs. (3 x 4000) = Rs. 12000.Average cost = Rs.12000 x 51= Rs.6120= Rs. 7.9876700767
