question,options,answer,explanation
Odometer is to mileage as compass is to,"['speed', 'hiking', 'needle', 'direction']",D,"An odometer is an instrument used to measure mileage.  A compass is an instrument used to determine direction. Choices a, b, and  c are incorrect because none is an instrument."
Marathon is to race as hibernation is to,"['winter', 'bear', 'dream', 'sleep']",D,"A marathon is a long race and hibernation is a lengthy period of sleep. The answer is not choice a or b because even though a bear and winter are related to hibernation, neither completes the analogy. (Choice c) is incorrect because sleep and dream are not synonymous."
Careful is to cautious as boastful is to,"['arrogant', 'humble', 'joyful', 'suspicious']",A,Careful and cautious are synonyms (they mean the same  thing). Boastful and arrogant are also synonyms. The answer is not (choice b)  because humble means the opposite of boastful. The answer is not choice  c or d  because neither means the same as boastful.
Pen is to poet as needle is to,"['thread', 'button', 'sewing', 'tailor']",D,"A pen is a tool used by a poet. A needle is a tool used by a tailor. The answer is not choice a, b, or  c because none is a person and therefore cannot complete the analogy."
Secretly is to openly as silently is to,"['scarcely', 'impolitely', 'noisily', 'quietly']",C,"Secretly is the opposite of openly, and silently is the opposite of noisily. Choices a and b are clearly not the opposites of silently. (Choice d) means the same thing as silently."
Embarrassed is to humiliated as frightened is to,"['terrified', 'agitated', 'courageous', 'reckless']",A,"If someone has been humiliated, they have been greatly embarrassed. If someone is terrified, they are extremely frightened. The  answer is not choice b because an agitated person is not necessarily frightened. Choices  c and  d are incorrect because neither word expresses a state of being frightened."
Pride is to lion as shoal is to,"['teacher', 'student', 'self-respect', 'fish']",D,A group of lions is called a pride. A group of fish swim in a shoal. Teacher (choice a) and student (choice b) refer to another meaning of the word  school. The answer is not (choice c) because self-respect has no obvious relationship to this particular meaning of school.
Artist is to painting as senator is to,"['attorney', 'law', 'politician', 'constituents']",B,An artist makes paintings; a senator makes laws. The  answer is not choice a because an attorney does not make laws and a senator is not an attorney. Choice c is incorrect because a senator is not a politician. Constituents (choice d) is also incorrect because a senator serves his or her constituents.
Exercise is to gym as eating is to,"['food', 'dieting', 'fitness', 'restaurant']",D,"A gym is a place where people exercise. A restaurant  is a place where people eat. Food (choice a) is not the answer because it is something people eat, not a place or location where they eat. The answer is not  choice b or c because neither represents a place where people eat."
Candid is to indirect as honest is to,"['frank', 'wicked', 'truthful', 'untruthful']",D,"Candid and indirect refer to opposing traits. Honest and untruthful refer to opposing traits. The answer is not choice a because frank means the same thing as candid.Wicked (choice b) is incorrect because even though it refers to a negative trait, it does not mean the opposite of honest. (Choice c) is incorrect because truthful and honest mean the same thing."
Guide is to direct as reduce is to,"['decrease', 'maintain', 'increase', 'preserve']",A,"Guide and direct are synonyms, and reduce and decrease are synonyms. The answer is not choice b or d because neither means the same as reduce. (Choice c) is incorrect because increase is the opposite of reduce."
Oar is to rowboat as foot is to,"['running', 'sneaker', 'skateboard', 'jumping']",C,"An oar puts a rowboat into motion. A foot puts a skateboard into motion. The answer is not choice a because running is not an object that is put into motion by a foot. Sneaker (choice b) is incorrect because it is something worn on a foot. Jumping (choice d) is incorrect because although you do need feet to jump, jumping is not an object that is put into motion by means of a foot."
Window is to pane as book is to,"['novel', 'glass', 'cover', 'page']",D,"A window is made up of panes, and a book is made up of pages. The answer is not (choice a) because a novel is a type of book. The answer is not (choice b) because glass has no relationship to a book. (Choice c) is incorrect because a cover is only one part of a book; a book is not made up of  covers."
Cup is to coffee as bowl is to,"['dish', 'soup', 'spoon', 'food']",B,Coffee goes into a cup and soup goes into a bowl.  Choices a and  c are incorrect because they are other utensils. The answer is not choice d because the word food is too general.
Yard is to inch as quart is to,"['gallon', 'ounce', 'milk', 'liquid']",B,A yard is a larger measure than an inch (a yard contains 36 inches). A quart is a larger measure than an ounce (a quart contains 32 ounces). Gallon (choice a) is incorrect because it is larger than a  quart. Choices  c and d are incorrect because they are not units of measurement.
Elated is to despondent as enlightened is to,"['aware', 'ignorant', 'miserable', 'tolerant']",B,Elated is the opposite of despondent; enlightened is the opposite of ignorant.
Optimist is to cheerful as pessimist is to,"['gloomy', 'mean', 'petty', 'helpful']",A,An optimist is a person whose outlook is cheerful. A  pessimist is a person whose outlook is gloomy. The answer is not (choice b) because a pessimist does not have to be mean. (Choices c) and d are incorrect because neither adjective describes the outlook of a pessimist.
Reptile is to lizard as flower is to,"['petal', 'stem', 'daisy', 'alligator']",C,"A lizard is a type of reptile; a daisy is a type of flower. Choices a and b are incorrect because a petal and a stem are parts of a flower, not types of flowers. (Choice d) is incorrect because an alligator is another type of reptile, not a type of flower."
Play is to actor as concert is to,"['symphony', 'musician', 'piano', 'percussion']",B,"An actor performs in a play. A musician performs at a  concert. Choices a, c, and d are incorrect because none is people who perform."
Sponge is to porous as rubber is to,"['massive', 'solid', 'elastic', 'inflexible']",C,"A sponge is a porous material. Rubber is an elastic  material. (Choice a) is incorrect because rubber would not generally be referred to as massive. The answer is not (choice b) because even though rubber is a solid, its most noticeable characteristic is its elasticity. Choice d is incorrect because rubber has flexibility."
