question,options,answer,explanation
A train running at the speed of 60 km/hr crosses a pole in 9 seconds. What is the length of the train?,"['120 metres', '180 metres', '324 metres', '150 metres']",D,Speed =60 x5m/sec=50m/sec.183Length of the train = (Speed x Time).Length of the train =50x 9m = 150 m.3
"A train 125 m long passes a man, running at 5 km/hr in the same direction in which the train is going, in 10 seconds. The speed of the train is:","['45 km/hr', '50 km/hr', '54 km/hr', '55 km/hr']",B,"Speed of the train relative to man =125m/sec10=25m/sec.2=25x18km/hr25= 45 km/hr.Let the speed of the train bexkm/hr. Then, relative speed = (x- 5) km/hr.x- 5 = 45x= 50 km/hr."
A goods train runs at the speed of 72 kmph and crosses a 250 m long platform in 26 seconds. What is the length of the goods train?,"['230 m', '240 m', '260 m', '270 m']",D,"Speed =72 x5m/sec= 20 m/sec.18Time = 26 sec.Let the length of the train bexmetres.Then,x+ 250= 2026x+ 250 = 520x= 270."
"Two trains, each 100 m long, moving in opposite directions, cross each other in 8 seconds. If one is moving twice as fast the other, then the speed of the faster train is:","['30 km/hr', '45 km/hr', '60 km/hr', '75 km/hr']",C,"Let the speed of the slower train bexm/sec.Then, speed of the faster train = 2xm/sec.Relative speed = (x+ 2x) m/sec = 3xm/sec.(100 + 100)= 3x824x= 200x=25.3So, speed of the faster train =50m/sec3=50x18km/hr35= 60 km/hr."
"Two trains 140 m and 160 m long run at the speed of 60 km/hr and 40 km/hr respectively in opposite directions on parallel tracks. The time (in seconds) which they take to cross each other, is:","['9', '9.6', '10', '10.8']",D,Relative speed = (60 + 40) km/hr =100 x5m/sec=250m/sec.189Distance covered in crossing each other = (140 + 160) m = 300 m.Required time =300 x9sec=54sec = 10.8 sec.2505
A train 110 metres long is running with a speed of 60 kmph. In what time will it pass a man who is running at 6 kmph in the direction opposite to that in which the train is going?,"['5 sec', '6 sec', '7 sec', '10 sec']",B,Speed of train relative to man = (60 + 6) km/hr = 66 km/hr.=66 x5m/sec18=55m/sec.3Time taken to pass the man =110 x3sec = 6 sec.55
A train travelling at a speed of 75 mph enters a tunnel 3miles long. The train ismile long. How long does it take for the train to pass through the tunnel from the moment the front enters to the moment the rear emerges?,"['2.5 min', '3 min', '3.2 min', '3.5 min']",B,Total distance covered=7+1miles24=15miles.4Time taken=15hrs4 x 75=1hrs20=1x 60min.20= 3 min.
"A train 800 metres long is running at a speed of 78 km/hr. If it crosses a tunnel in 1 minute, then the length of the tunnel (in meters) is:","['130', '360', '500', '540']",C,"Speed =78 x5m/sec=65m/sec.183Time = 1 minute = 60 seconds.Let the length of the tunnel bexmetres.Then,800 +x=656033(800 +x) = 3900x= 500."
A 300 metre long train crosses a platform in 39 seconds while it crosses a signal pole in 18 seconds. What is the length of the platform?,"['320 m', '350 m', '650 m', 'Data inadequate']",B,"Speed =300m/sec =50m/sec.183Let the length of the platform bexmetres.Then,x+ 300=503933(x+ 300) = 1950x= 350 m."
A train speeds past a pole in 15 seconds and a platform 100 m long in 25 seconds. Its length is:,"['50 m', '150 m', '200 m', 'Data inadequate']",B,"Let the length of the train bexmetres and its speed byym/sec.Then,x= 15y=x.y15x+ 100=x251515(x+ 100) = 25x15x+ 1500 = 25x1500 = 10xx= 150 m."
A train moves past a telegraph post and a bridge 264 m long in 8 seconds and 20 seconds respectively. What is the speed of the train?,"['69.5 km/hr', '70 km/hr', '79 km/hr', '79.2 km/hr']",D,"Let the length of the train bexmetres and its speed byym/sec.Then,x= 8x= 8yyNow,x+ 264=y208y+ 264 = 20yy= 22.Speed = 22 m/sec =22 x18km/hr = 79.2 km/hr.5"
