question,options,answer,explanation
"A right triangle with sides 3 cm, 4 cm and 5 cm is rotated the side of 3 cm to form a cone. The volume of the cone so formed is:","['12cm3', '15cm3', '16cm3', '20cm3']",A,"Clearly, we haver= 3 cm andh= 4 cm.Volume =1r2h=1xx 32x 4cm3= 12cm3.33Video Explanation:https://youtu.be/Njsid2mVwUY"
"In a shower, 5 cm of rain falls. The volume of water that falls on 1.5 hectares of ground is:","['75 cu. m', '750 cu. m', '7500 cu. m', '75000 cu. m']",B,"1 hectare = 10,000 m2So, Area = (1.5 x 10000) m2= 15000 m2.Depth =5m=1m.10020Volume = (Area x Depth) =15000 x1m3= 750 m3.20Video Explanation:https://youtu.be/dDbVuBzYop8"
The curved surface area of a cylindrical pillar is 264 m2and its volume is  924 m3. Find the ratio of its diameter to its height.,"['3 : 7', '7 : 3', '6 : 7', '7 : 6']",B,"r2h=924r=924x 2= 7 m.2rh264264And, 2rh= 264h=264 x7x1x1= 6m.2227Required ratio =2r=14= 7 : 3.h6"
A cistern of capacity 8000 litres measures externally 3.3 m by 2.6 m by 1.1 m and its walls are 5 cm thick. The thickness of the bottom is:,"['90 cm', '1 dm', '1 m', '1.1 cm']",B,"Let the thickness of the bottom bexcm.Then, [(330 - 10) x (260 - 10) x (110 -x)] = 8000 x 1000320 x 250 x (110 -x) = 8000 x 1000(110 -x) =8000 x 1000= 100320 x 250x= 10 cm = 1 dm."
What is the total surface area of a right circular cone of height 14 cm and base radius 7 cm?,"['344.35 cm2', '462 cm2', '498.35 cm2', 'None of these']",C,"h= 14 cm,r= 7 cm.So,l=(7)2+ (14)2=245= 75cm.Total surface area=rl+r2=22x 7 x 75+22x 7 x 7cm277= [154(5+ 1)] cm2= (154 x 3.236) cm2= 498.35 cm2."
"A large cube is formed from the material obtained by melting three smaller cubes of 3, 4 and 5 cm side. What is the ratio of the total surface areas of the smaller cubes and the large cube?","['2 : 1', '3 : 2', '25 : 18', '27 : 20']",C,"Volume of the large cube = (33+ 43+ 53) = 216 cm3.Let the edge of the large cube bea.So,a3= 216a= 6 cm.Required ratio =6 x (32+ 42+ 52)=50= 25 : 18.6 x 6236"
"How many bricks, each measuring 25 cm x 11.25 cm x 6 cm, will be needed to build a wall of 8 m x 6 m x 22.5 cm?","['5600', '6000', '6400', '7200']",C,Number of bricks =Volume of the wall=800 x 600 x 22.5= 6400.Volume of 1 brick25 x 11.25 x 6
"A hall is 15 m long and 12 m broad. If the sum of the areas of the floor and the ceiling is equal to the sum of the areas of four walls, the volume of the hall is:","['720', '900', '1200', '1800']",C,2(15 + 12) xh= 2(15 x 12)h=180m =20m.273Volume =15 x 12 x20m3= 1200 m3.3Video Explanation:https://youtu.be/V8EQ1YIaH74
66 cubic centimetres of silver is drawn into a wire 1 mm in diameter. The length of the wire in metres will be:,"['84', '90', '168', '336']",A,"Let the length of the wire beh.Radius =1mm=1cm.Then,22022x1x1xh= 66.72020h=66 x 20 x 20 x 7= 8400 cm = 84 m.22"
"A hollow iron pipe is 21 cm long and its external diameter is 8 cm. If the thickness of the pipe is 1 cm and iron weighs 8 g/cm3, then the weight of the pipe is:","['3.6 kg', '3.696 kg', '36 kg', '36.9 kg']",B,"External radius = 4 cm,Internal radius = 3 cm.Volume of iron=22x [(4)2- (3)2] x 21cm37=22x 7 x 1 x 21cm37= 462 cm3.Weight of iron = (462 x 8) gm = 3696 gm = 3.696 kg."
A boat having a length 3 m and breadth 2 m is floating on a lake. The boat sinks by 1 cm when a man gets on it. The mass of the man is:,"['12 kg', '60 kg', '72 kg', '96 kg']",B,Volume of water displaced= (3 x 2 x 0.01) m3= 0.06 m3.Mass of man= Volume of water displaced x Density of water= (0.06 x 1000) kg= 60 kg.
"50 men took a dip in a water tank 40 m long and 20 m broad on a religious day. If the average displacement of water by a man is 4 m3, then the rise in the water level in the tank will be:","['20 cm', '25 cm', '35 cm', '50 cm']",B,Total volume of water displaced = (4 x 50) m3= 200 m3.Rise in water level =200m 0.25 m = 25 cm.40 x 20
The slant height of a right circular cone is 10 m and its height is 8 m. Find the area of its curved surface.,"['30m2', '40m2', '60m2', '80m2']",C,"l= 10 m,h= 8 m.So,r=l2-h2=(10)2- 82= 6 m.Curved surface area =rl= (x 6 x 10) m2= 60m2."
A cistern 6m long and 4 m wide contains water up to a depth of 1 m 25 cm. The total area of the wet surface is:,"['49 m2', '50 m2', '53.5 m2', '55 m2']",A,Area of the wet surface= [2(lb+bh+lh) -lb]= 2(bh+lh) +lb= [2 (4 x 1.25 + 6 x 1.25) + 6 x 4] m2= 49 m2.
"A metallic sheet is of rectangular shape with dimensions 48 m x 36 m. From each of its corners, a square is cut off so as to make an open box. If the length of the square is 8 m, the volume of the box (in m3) is:","['4830', '5120', '6420', '8960']",B,"Clearly,l= (48 - 16)m = 32 m,b= (36 -16)m = 20 m,h= 8 m.Volume of the box = (32 x 20 x 8) m3= 5120 m3."
