question,options,answer,explanation
"SCD, TEF, UGH, ____, WKL","['CMN', 'UJI', 'VIJ', 'IJT']",C,"There are two alphabetical series here. The first series is with the first letters only: STUVW. The second series involves the remaining letters: CD, EF, GH, IJ, KL."
"B2CD, _____, BCD4, B5CD, BC6D","['B2C2D', 'BC3D', 'B2C3D', 'BCD7']",B,"Because the letters are the same, concentrate on the number series, which is a simple 2, 3, 4, 5, 6 series, and follows each letter in order."
"QAR, RAS, SAT, TAU, _____","['UAV', 'UAT', 'TAS', 'TAT']",A,"In this series, the third letter is repeated as the first letter of the next segment. The middle letter, A, remains static. The third letters are in alphabetical order, beginning with R."
"DEF, DEF2, DE2F2, _____, D2E2F3","['DEF3', 'D3EF3', 'D2E3F', 'D2E2F2']",D,"In this series, the letters remain the same: DEF.The subscript numbers follow this series:111, 112, 122, 222, 223, 233, 333, ..."
"FAG, GAF, HAI, IAH, ____","['JAK', 'HAL', 'HAK', 'JAI']",A,"The middle letters are static, so concentrate on the first and third letters. The series involves an alphabetical order with a reversal of the letters. The first letters are in alphabetical order: F, G, H, I , J. The second and fourth segments are reversals of the first and third segments. The missing segment begins with a new letter."
"ELFA, GLHA, ILJA, _____, MLNA","['OLPA', 'KLMA', 'LLMA', 'KLLA']",D,"The second and forth letters in the series, L and A, are static. The first and third letters consist of an alphabetical order beginning with the letter E."
"CMM, EOO, GQQ, _____, KUU","['GRR', 'GSS', 'ISS', 'ITT']",C,"The first letters are in alphabetical order with a letter skipped in between each segment: C, E, G, I, K. The second and third letters are repeated; they are also in order with a skipped letter: M, O, Q, S, U."
"ZA5, Y4B, XC6, W3D, _____","['E7V', 'V2E', 'VE5', 'VE7']",D,"There are three series to look for here. The first letters are alphabetical in reverse: Z, Y, X, W, V. The second letters are in alphabetical order, beginning with A. The number series is as follows: 5, 4, 6, 3, 7."
"QPO, NML, KJI, _____, EDC","['HGF', 'CAB', 'JKL', 'GHI']",A,This series consists of letters in a reverse alphabetical order.
"JAK, KBL, LCM, MDN, _____","['OEP', 'NEO', 'MEN', 'PFQ']",B,This is an alternating series in alphabetical order. The middle letters follow the order ABCDE. The first and third letters are alphabetical beginning with J. The third letter is repeated as a first letter in each subsequent three-letter segment.
"BCB, DED, FGF, HIH, ___","['JKJ', 'HJH', 'IJI', 'JHJ']",A,"This series consists of a simple alphabetical order with the first two letters of all segments: B, C, D, E, F, G, H, I, J, K. The third letter of each segment is a repetition of the first letter."
"P5QR, P4QS, P3QT, _____, P1QV","['PQW', 'PQV2', 'P2QU', 'PQ3U']",C,"The first two letters, PQ, are static. The third letter is in alphabetical order, beginning with R. The number series is in descending order beginning with 5."
