question,options,answer,explanation
"The total of the ages of Amar, Akbar and Anthony is 80 years. What was the total of their ages three years ago ?","['71 years', '72 years', '74 years', '77 years']",A,Required sum = (80 - 3 x 3) years = (80 - 9) years = 71 years.
Two bus tickets from city A to B and three tickets from city A to C cost Rs. 77 but three tickets from city A to B and two tickets from city A to C cost Rs. 73. What are the fares for cities B and C from A ?,"['Rs. 4, Rs. 23', 'Rs. 13, Rs. 17', 'Rs. 15, Rs. 14', 'Rs. 17, Rs. 13']",B,"Let Rs. x be the fare of city B from city A and Rs. y be the fare of city C from city A.Then, 2x + 3y = 77           ...(i)       and3x + 2y = 73           ...(ii)Multiplying (i) by 3 and (ii) by 2 and subtracting, we get: 5y = 85   or   y = 17.Putting y = 17 in (i), we get: x = 13."
"A is 3 years older to B and 3 years younger to C, while B and D are twins. How many years older is C to D?","['2', '3', '6', '12']",C,"Since B and D are twins, so B = D.Now, A = B + 3 and A = C - 3.Thus, B + 3 = C - 3D + 3 = C-3C - D = 6."
The 30 members of a club decided to play a badminton singles tournament. Every time a member loses a game he is out of the tournament. There are no ties. What is the minimum number of matches that must be played to determine the winner ?,"['15', '29', '61', 'None of these']",B,"Clearly, every member except one (i.e. the winner) must lose one game to decide the winner. Thus, minimum number of matches to be played = 30 - 1 = 29."
"In a garden, there are 10 rows and 12 columns of mango trees. The distance between the two trees is 2 metres and a distance of one metre is left from all sides of the boundary of the garden. The length of the garden is","['20 m', '22 m', '24 m', '26 m']",C,Each row contains 12 plants.There are 11 gapes between the two corner trees (11 x 2) metres and 1 metre on each side is left.Therefore Length = (22 + 2) m = 24 m.
12 year old Manick is three times as old as his brother Rahul. How old will Manick be when he is twice as old as Rahul ?,"['14 years', '16 years', '18 years', '20 years']",B,"Manick's present age = 12 years, Rahul's present age = 4 years.Let Manick be twice as old as Rahul after x years from now.Then, 12 + x = 2 (4 + x)12 + x = 8 + 2xx = 4.Hence, Manick's required age = 12 + x = 16 years."
A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 10 pieces. He cut at the rate of 45 cuts a minute. How many rolls would be cut in 24 minutes ?,"['32 rolls', '54 rolls', '108 rolls', '120 rolls']",D,Number of cuts made to cut a roll into 10 pieces = 9.Therefore Required number of rolls = (45 x 24)/9 = 120.
There are deer and peacocks in a zoo. By counting heads they are 80. The number of their legs is 200. How many peacocks are there ?,"['20', '30', '50', '60']",D,"Let x and y be the number of deer and peacocks in the zoo respectively. Then,x + y = 80 ...(i) and4x + 2y = 200   or   2x + y = 100 ...(ii)Solving (i) and (ii), we get) x = 20, y = 60."
"A man wears socks of two colours - Black and brown. He has altogether 20 black socks and 20 brown socks in a drawer. Supposing he has to take out the socks in the dark, how many must he take out to be sure that he has a matching pair ?","['3', '20', '39', 'None of these']",A,"Since there are socks of only two colours, so two out of any three socks must always be of the same colour."
A motorist knows four different routes from Bristol to Birmingham. From Birmingham to Sheffield he knows three different routes and from Sheffield to Carlisle he knows two different routes. How many routes does he know from Bristol to Carlisle ?,"['4', '8', '12', '24']",D,Total number of routes from Bristol to Carlisle = (4 x 3 x 2) = 24.
"Mac has £ 3 more than Ken, but then Ken wins on the horses and trebles his money, so that he now has £ 2 more than the original amount of money that the two boys had between them. How much money did Mac and Ken have between them before Ken's win ?","['£ 9', '£ 11', '£ 13', '£ 15']",C,"Let money with Ken = x. Then, money with Mac = x + £ 3.Now, 3x = (x + x + £ 3) + £ 2x = £ 5.Therefore Total money with Mac and Ken = 2x + £ 3 = £ 13."
An institute organised a fete and 1/5 of the girls and 1/8 of the boys participated in the same. What fraction of the total number of students took part in the fete ?,"['2/13', '13/40', 'Data inadequate', 'None of these']",C,No answer description is available.Let's discuss.
"In a class, there are 18 boys who are over 160 cm tall. If these constitute three-fourths of the boys and the total number of boys is two-thirds of the total number of students in the class, what is the number of girls in the class ?","['6', '12', '18', '24']",B,"Let the number of boys be x. Then, (3/4)x = 18   or   x = 18 x(4/3) = 24.If total number of students is y, then (2/3) y = 24   or   y = 24 x (3/2) = 36.Therefore Number of girls in the class = (36 - 24) = 12."
"A father is now three times as old as his son. Five years back, he was four times as old as his son. The age of the son (in years) is","['12', '15', '18', '20']",B,"Let son's age be x years. Then, father's age = (3x) years.Five years ago, father's age = (3x - 5) years and son's age = (x - 5) years.So, 3x - 5 = 4 (x - 5)3x - 5 = 4x - 20x = 15."
A waiter's salary consists of his salary and tips. During one week his tips were 5/4 of his salary. What fraction of his income came from tips ?,"['4/9', '5/4', '5/8', '5/9']",D,
"If you write down all the numbers from 1 to 100, then how many times do you write 3 ?","['11', '18', '20', '21']",C,"Clearly, from 1 to 100, there are ten numbers with 3 as the unit's digit- 3, 13, 23, 33, 43, 53, 63, 73, 83, 93; and ten numbers with 3 as the ten's digit - 30, 31, 32, 33, 34, 35, 36, 37, 38, 39.So, required number = 10 + 10 = 20."
"If 100 cats kill 100 mice in 100 days, then 4 cats would kill 4 mice in how many days ?","['1 day', '4 days', '40 days', '100 days']",D,
"Five bells begin to toll together and toll respectively at intervals of 6, 5, 7, 10 and 12 seconds. How many times will they toll together in one hour excluding the one at the start ?","['7 times', '8 times', '9 times', '11 times']",B,"L.C.M. of 6, 5, 7, 10 and 12 is 420.So, the bells will toll together after every 420 seconds i.e. 7 minutes.Now, 7 x 8 = 56 and 7 x 9 = 63.Thus, in 1-hour (or 60 minutes), the bells will toll together 8 times, excluding the one at the start."
"A bus starts from city X. The number of women in the bus is half of the number of men. In city Y, 10 men leave the bus and five women enter. Now, number of men and women is equal. In the beginning, how many passengers entered the bus ?","['15', '30', '36', '45']",D,"Originally, let number of women = x. Then, number of men = 2x.So, in city Y, we have : (2x - 10) = (x + 5)   or   x - 15.Therefore Total number of passengers in the beginning = (x + 2x) = 3x = 45."
"A, B, C, D and E play a game of cards. A says to B, ""If you give me 3 cards, you will have as many as I have at this moment while if D takes 5 cards from you, he will have as many as E has."" A and C together have twice as many cards as E has. B and D together also have the same number of cards as A and C taken together. If together they have 150 cards, how many cards has C got ?","['28', '29', '31', '35']",A,"Clearly, we have :A = B - 3 ...(i)D + 5 = E ...(ii)A+C = 2E ...(iii)B + D = A+C = 2E ...(iv)A+B + C + D + E=150 ...(v)From (iii), (iv) and (v), we get: 5E = 150   or   E = 30.Putting E = 30 in (ii), we get: D = 25.Putting E = 30 and D = 25 in (iv), we get: B = 35.Putting B = 35 in (i), we get: A = 32.Putting A = 32 and E = 30 in (iii), we get: C = 28."
A farmer built a fence around his square plot. He used 27 fence poles on each side of the square. How many poles did he need altogether ?,"['100', '104', '108', 'None of these']",B,"Since each pole at the corner of the plot is common to its two sides, so we have :Total number of poles needed = 27 x 4 - 4 = 108 - 4 = 104."
"In a city, 40% of the adults are illiterate while 85% of the children are literate. If the ratio of the adults to that of the children is 2 : 3, then what percent of the population is literate ?","['20%', '25%', '50%', '75%']",D,
"A number of friends decided to go on a picnic and planned to spend Rs. 96 on eatables. Four of them, however, did not turn up. As a consequence, the remaining ones had to contribute Rs. 4 each extra. The number of those who attended the picnic was","['8', '12', '16', '24']",A,
"A is three times as old as B. C was twice-as old as A four years ago. In four years' time, A will be 31. What are the present ages of B and C ?","['9, 46', '9, 50', '10, 46', '10, 50']",B,"We have : A = 3B ...(i) andC - 4 = 2 (A - 4) ...(ii)Also, A + 4 = 31 or  A= 31-4 = 27.Putting A = 27 in (i), we get: B = 9.Putting A = 27 in (ii), we get C = 50."
"Today is Varun's birthday. One year, from today he will be twice as old as he was 12 years ago. How old is Varun today ?","['20 years', '22 years', '25 years', '27 years']",C,"Let Varan's age today = x years.Then, Varan's age after 1 year = (x + 1) years.Therefore x + 1 = 2 (x - 12)x + 1 = 2x - 24x = 25."
