question,options,answer,explanation
Arrange the words given below in a meaningful sequence.1. Key2. Door3. Lock4. Room5. Switch on,"['5, 1, 2, 4, 3', '4, 2, 1, 5, 3', '1, 3, 2, 4, 5', '1, 2, 3, 5, 4']",C,The correct order is :KeyLockDoorRoomSwitch on13245
Arrange the words given below in a meaningful sequence.1. Word2. Paragraph3. Sentence4. Letters5. Phrase,"['4, 1, 5, 2, 3', '4, 1, 3, 5, 2', '4, 2, 5, 1, 3', '4, 1, 5, 3, 2']",D,The correct order is :LettersWordPhraseSentenceParagraph41532
Arrange the words given below in a meaningful sequence.1. Wall2. Clay3. House4. Room5. Bricks,"['5, 2, 1, 4, 3', '2, 5, 4, 1, 3', '2, 5, 1, 4, 3', '1, 2, 3, 4, 5']",C,The correct order is :ClayBricksWallRoomHouse25143
Arrange the words given below in a meaningful sequence.1. Probation2. Interview3. Selection4. Appointment5. Advertisement6. Application,"['5, 6, 3, 2, 4, 1', '5, 6, 4, 2, 3, 1', '5, 6, 2, 3, 4, 1', '6, 5, 4, 2, 3, 1']",C,The correct order is :AdvertisementApplicationInterviewSelectionAppointmentProbation562341
Arrange the words given below in a meaningful sequence.1. Elephant2. Cat3. Mosquito4. Tiger5. Whale,"['5, 3, 1, 2, 4', '3, 2, 4, 1, 5', '1, 3, 5, 4, 2', '2, 5, 1, 4, 3']",B,The correct order is :MosquitoCatTigerElephantWhale32415
Arrange the words given below in a meaningful sequence.1. Yarn2. Plant3. Saree4. Cotton5. Cloth,"['2, 4, 5, 1, 3', '2, 4, 3, 5, 1', '2, 4, 1, 5, 3', '2, 4, 5, 3, 1']",C,The correct order is :PlantCottonYarnClothSaree24153
Arrange the words given below in a meaningful sequence.1. Infant2. Old3. Adult4. Adolescent5. Child,"['5, 4, 3, 2, 1', '3, 4, 2, 1, 5', '2, 3, 4, 5, 1', '1, 5, 4, 3, 2']",D,The correct order is :InfantChildAdolescentAdultOld15432
Arrange the words given below in a meaningful sequence.1. Leaves2. Branch3. Flower4. Tree5. Fruit,"['4, 3, 1, 2, 5', '4, 2, 5, 1, 3', '4, 3, 2, 1, 5', '4, 2, 1, 3, 5']",D,The correct order is :TreeBranchLeavesFlowerFruit42135
Arrange the words given below in a meaningful sequence.1. Tree2. Seed3. Flowers4. Fruit5. Plant,"['5, 2, 1, 3, 4', '2, 5, 1, 4, 3', '2, 5, 1, 3, 4', '2, 5, 3, 1, 4']",C,The correct order is :SeedPlantTreeFlowersFruit25134
Arrange the words given below in a meaningful sequence.1. Adult2. Child3. Infant4. Boy5. Adolescent,"['1, 3, 4, 5, 2', '2, 3, 5, 4, 1', '2, 3, 4, 1, 5', '3, 2, 4, 5, 1']",D,The correct order is :InfantChildBoyAdolescentAdult32451
Arrange the words given below in a meaningful sequence.1. Protect2. Pressure3. Relief4. Rain5. Flood,"['2, 4, 3, 1, 5', '2, 4, 5, 1, 3', '2, 5, 4, 1, 3', '3, 2, 4, 5, 1']",B,The correct order is :PressureRainFloodProtectRelief24513
Arrange the words given below in a meaningful sequence.1. Presentation2. Recommendation3. Arrival4. Discussion5. Introduction,"['5, 3, 4, 1, 2', '3, 5, 4, 2, 1', '3, 5, 1, 4, 2', '5, 3, 1, 2, 4']",C,The correct order is :ArrivalIntroductionPresentationDiscussionRecommendation35142
Arrange the words given below in a meaningful sequence.1. Police2. Punishment3. Crime4. Judge5. Judgement,"['3, 1, 2, 4, 5', '1, 2, 4, 3, 5', '5, 4, 3, 2, 1', '3, 1, 4, 5, 2']",D,The correct order is :CrimePoliceJudgeJudgementPunishment31452
Arrange the words given below in a meaningful sequence.1. Income2. Status3. Education4. Well-being5. Job,"['3, 1, 5, 2, 4', '1, 3, 2, 5, 4', '1, 2, 5, 3, 4', '3, 5, 1, 2, 4']",D,The correct order is :EducationJobIncomeStatusWell-being35124
Arrange the words given below in a meaningful sequence.1. Heel2. Shoulder3. Skull4. Neck5. Knee6. Chest7. Thigh8. Stomach9. Face10. Hand,"['3, 4, 7, 9, 2, 5, 8, 10, 6, 1', '3, 9, 4, 2, 10, 6, 8, 7, 5, 1', '2, 4, 7, 10, 1, 5, 8, 9, 6, 3', '4, 7, 10, 1, 9, 6, 2, 5, 8, 3']",B,The correct order is :SkullFaceNeckShoulderHandChestStomachThighKneeHeel39421068751
Arrange the words given below in a meaningful sequence.1. Rainbow2. Rain3. Sun4. Happy5. Child,"['4, 2, 3, 5, 1', '2, 3, 1, 5, 4', '4, 5, 1, 2, 3', '2, 1, 4, 5, 3']",B,The correct order is :RainSunRainbowChildHappy23154
Arrange the words given below in a meaningful sequence.1. Family2. Community3. Member4. Locality5. Country,"['3, 1, 2, 4, 5', '3, 1, 2, 5, 4', '3, 1, 4, 2, 5', '3, 1, 4, 5, 2']",A,The correct order is :MemberFamilyCommunityLocalityCountry31245
Arrange the words given below in a meaningful sequence.1. Poverty2. Population3. Death4. Unemployment5. Disease,"['2, 3, 4, 5, 1', '3, 4, 2, 5, 1', '2, 4, 1, 5, 3', '1, 2, 3, 4, 5']",C,The correct order is :PopulationUnemploymentPovertyDiseaseDeath24153
Arrange the words given below in a meaningful sequence.1. Leaf2. Fruit3. Stem4. Root5. Flower,"['3, 4, 5, 1, 2', '4, 3, 1, 5, 2', '4, 1, 3, 5, 2', '4, 3, 1, 2, 5']",B,The correct order is :RootStemLeafFlowerFruit43152
Arrange the words given below in a meaningful sequence.1. Nation2. Village3. City4. District5. State,"['2, 3, 4, 5, 1', '2, 3, 4, 1, 5', '1, 3, 5, 4, 2', '1, 2, 3, 4, 5']",A,The correct order is :VillageCityDistrictStateNation23451
Arrange the words given below in a meaningful sequence.1. Caste2. Family3. Newly married Couple4. Clan5. Species,"['2, 3, 1, 4, 5', '3, 4, 5, 1, 2', '3, 2, 1, 4, 5', '4, 5, 3, 2, 1']",C,The correct order is :Newly married CoupleFamilyCasteClanSpecies32145
Arrange the words given below in a meaningful sequence.1. Cut2. Put on3. Mark4. Measure5. Tailor,"['3, 1, 5, 4, 2', '2, 4, 3, 1, 5', '1, 3, 2, 4, 5', '4, 3, 1, 5, 2']",D,The correct order is :MeasureMarkCutTailorPut on43152
Arrange the words given below in a meaningful sequence.1. House2. Street3. Room4. Town5. District,"['3, 2, 1, 4, 5', '3, 1, 4, 2, 5', '3, 1, 2, 4, 5', '3, 1, 2, 5, 4']",C,The correct order is :RoomHouseStreetTownDistrict31245
