question,options,answer,explanation
A batsman scored 110 runs which included 3 boundaries and 8 sixes. What percent of his total score did he make by running between the wickets?,"['45%', '455%11', '546%11', '55%']",B,Number of runs made by running = 110 - (3 x 4 + 8 x 6)= 110 - (60)= 50.Required percentage =50x 100% = 455%11011Video Explanation:https://youtu.be/X2zTnABqEHU
Two students appeared at an examination. One of them secured 9 marks more than the other and his marks was 56% of the sum of their marks. The marks obtained by them are:,"['39, 30', '41, 32', '42, 33', '43, 34']",C,"Let their marks be (x+ 9) andx.Then,x+ 9 =56(x+ 9 +x)10025(x+ 9) = 14(2x+ 9)3x= 99x= 33So, their marks are 42 and 33."
"Three candidates contested an election and received 1136, 7636 and 11628 votes respectively. What percentage of the total votes did the winning candidate get?","['57%', '60%', '65%', '90%']",A,Total number of votes polled = (1136 + 7636 + 11628) = 20400.Required percentage =11628x 100% = 57%.20400
"Two tailors X and Y are paid a total of Rs. 550 per week by their employer. If X is paid 120 percent of the sum paid to Y, how much is Y paid per week?","['Rs. 200', 'Rs. 250', 'Rs. 300', 'None of these']",B,"Let the sum paid to Y per week be Rs.z.Then,z+ 120% ofz= 550.z+120z= 55010011z= 5505z=550 x 5= 250.11"
"Gauri went to the stationers and bought things worth Rs. 25, out of which 30 paise went on sales tax on taxable purchases. If the tax rate was 6%, then what was the cost of the tax free items?","['Rs. 15', 'Rs. 15.70', 'Rs. 19.70', 'Rs. 20']",C,"Let the amount taxable purchases be Rs.x.Then, 6% ofx=30100x=30x100= 5.1006Cost of tax free items = Rs. [25 - (5 + 0.30)] = Rs. 19.70"
"Rajeev buys good worth Rs. 6650. He gets a rebate of 6% on it. After getting the rebate, he pays sales tax @ 10%. Find the amount he will have to pay for the goods.","['Rs. 6876.10', 'Rs. 6999.20', 'Rs. 6654', 'Rs. 7000']",A,Rebate = 6% of Rs. 6650 = Rs.6x 6650= Rs. 399.100Sales tax = 10% of Rs. (6650 - 399) = Rs.10x 6251= Rs. 625.10100Final amount = Rs. (6251 + 625.10) = Rs. 6876.10Video Explanation:https://youtu.be/XuiggCTh3SU
"The population of a town increased from 1,75,000 to 2,62,500 in a decade. The average percent increase of population per year is:","['4.37%', '5%', '6%', '8.75%']",B,Increase in 10 years = (262500 - 175000) = 87500.Increase% =87500x 100% = 50%.175000Required average =50% = 5%.10
"A fruit seller had some apples. He sells 40% apples and still has 420 apples. Originally, he had:","['588 apples', '600 apples', '672 apples', '700 apples']",D,"Suppose originally he hadxapples.Then, (100 - 40)% ofx= 420.60xx= 420100x=420 x 100= 700.60Video Explanation:https://youtu.be/-Pv25Do3WwY"
What percentage of numbers from 1 to 70 have 1 or 9 in the unit's digit?,"['1', '14', '20', '21']",C,"Clearly, the numbers which have 1 or 9 in the unit's digit, have squares that end in the digit 1. Such numbers from 1 to 70 are 1, 9, 11, 19, 21, 29, 31, 39, 41, 49, 51, 59, 61, 69.Number of such number =14Required percentage =14x 100% = 20%.70Video Explanation:https://youtu.be/cBamI6iRNIA"
"If 20% ofa=b, thenb% of 20 is the same as:","['4% ofa', '5% ofa', '20% ofa', 'None of these']",A,20% ofa=b20a=b.100b% of 20 =bx 20=20ax1x 20=4a= 4% ofa.100100100100
Two numbers A and B are such that the sum of 5% of A and 4% of B is two-third of the sum of 6% of A and 8% of B. Find the ratio of A : B.,"['2 : 3', '1 : 1', '3 : 4', '4 : 3']",D,5% of A + 4% of B =2(6% of A + 8% of B)35A +4B=26A +8B10010031001001A +1B=1A +4B202525751-1A =4-1B202575251A =1B10075A=100=4.B753Required ratio = 4 : 3Video Explanation:YouTube Video
A student multiplied a number by3instead of5.53What is the percentage error in the calculation?,"['34%', '44%', '54%', '64%']",D,"Let the number bex.Then, error =5x-3x=16x.3515Error% =16xx3x 100% = 64%.155x"
"In an election between two candidates,  one got 55% of the total valid votes, 20% of the votes were invalid. If the total number of votes was 7500, the number of valid votes that the other candidate got, was:","['2700', '2900', '3000', '3100']",A,Number of valid votes = 80% of 7500 = 6000.Valid votes polled by other candidate = 45% of 6000=45x 6000= 2700.100
