question,options,answer,explanation
"A and B invest in a business in the ratio 3 : 2. If 5% of the total profit goes to charity and A's share is Rs. 855, the total profit is:","['Rs. 1425', 'Rs. 1500', 'Rs. 1537.50', 'Rs. 1576']",B,"Let the total profit be Rs. 100.After paying to charity, A's share = Rs.95 x3= Rs. 57.5If A's share is Rs. 57, total profit = Rs. 100.If A's share Rs. 855, total profit =100x 855= 1500.57"
"A, B and C jointly thought of engaging themselves in a business venture. It was agreed that A would invest Rs. 6500 for 6 months, B, Rs. 8400 for 5 months and C, Rs. 10,000 for 3 months. A wants to be the working member for which, he was to receive 5% of the profits. The profit earned was Rs. 7400. Calculate the share of B in the profit.","['Rs. 1900', 'Rs. 2660', 'Rs. 2800', 'Rs. 2840']",B,"For managing, A received = 5% of Rs. 7400 = Rs. 370.Balance = Rs. (7400 - 370) = Rs. 7030.Ratio of their investments = (6500 x 6) : (8400 x 5) : (10000 x 3)= 39000 : 42000 : 30000= 13 : 14 : 10B's share = Rs.7030 x14= Rs. 2660.37"
"A began a business with Rs. 85,000. He was joined afterwards by B with Rs. 42,500. For how much period does B join, if the profits at the end of the year are divided in the ratio of 3 : 1?","['4 months', '5 months', '6 months', '8 months']",D,"Suppose B joined forxmonths. Then,Then,85000 x 12=342500 xx1x=85000 x 12= 8.42500 x 3So, B joined for 8 months."
"Aman started a business investing Rs. 70,000. Rakhi joined him after six months with an amount of Rs.. 1,05,000 and Sagar joined them with Rs. 1.4 lakhs after another six months. The amount of profit earned should be distributed in what ratio among Aman, Rakhi and Sagar respectively, 3 years after Aman started the business?","['7 : 6 : 10', '12 : 15 : 16', '42 : 45 : 56', 'Cannot be determined']",B,"Aman : Rakhi : Sagar = (70,000 x 36) : (1,05,000 x 30) : (1,40,000 x 24) = 12 : 15 : 16."
"Arun, Kamal and Vinay invested Rs. 8000, Rs. 4000 and Rs. 8000 respectively in a business. Arun left after six months. If after eight months, there was a gain of Rs. 4005, then what will be the share of Kamal?","['Rs. 890', 'Rs. 1335', 'Rs. 1602', 'Rs. 1780']",A,"Arun : Kamal : Vinay = (8,000 x 6) : (4,000 x 8) : (8,000 x 8)= 48 : 32 : 64= 3 : 2 : 4.Kamal's share = Rs.4005 x2= Rs. 890.9"
"Simran started a software business by investing Rs. 50,000. After six months, Nanda joined her with a capital of Rs. 80,000. After 3 years, they earned a profit of Rs. 24,500. What was Simran's share in the profit?","['Rs. 9,423', 'Rs. 10,250', 'Rs. 12,500', 'Rs. 10,500']",D,"Simran : Nanda = (50000 x 36) : (80000 x 30) = 3 : 4.Simran's share = Rs.24500 x3= Rs. 10,500.7"
"A, B and C enter into a partnership in the ratio::. After 4 months, A increases his share 50%. If the total profit at the end of one year be Rs. 21,600, then B's share in the profit is:","['Rs. 2100', 'Rs. 2400', 'Rs. 3600', 'Rs. 4000']",D,"Ratio of initial investments =7:4:6= 105 : 40 : 36.235Let the initial investments be 105x, 40xand 36x.A : B : C =105xx 4 +150x 105xx 8: (40xx 12) : (36xx 12)100= 1680x: 480x: 432x= 35 : 10 : 9.Hence, B's share = Rs.21600 x10= Rs. 4000.54"
"A, B, C subscribe Rs. 50,000 for a business. A subscribes Rs. 4000 more than B and B Rs. 5000 more than C. Out of a total profit of Rs. 35,000, A receives:","['Rs. 8400', 'Rs. 11,900', 'Rs. 13,600', 'Rs. 14,700']",D,"Let C =x.Then, B =x+ 5000 and A =x+ 5000 + 4000 =x+ 9000.So,x+x+ 5000 +x+ 9000 = 500003x= 36000x= 12000A : B : C = 21000 : 17000 : 12000 = 21 : 17 : 12.A's share = Rs.35000 x21= Rs. 14,700.50"
"Three partners shared the profit in a business in the ratio 5 : 7 : 8. They had partnered for 14 months, 8 months and 7 months respectively. What was the ratio of their investments?","['5 : 7 : 8', '20 : 49 : 64', '38 : 28 : 21', 'None of these']",B,"Let their investments be Rs.xfor 14 months, Rs.yfor 8 months and Rs.zfor 7 months respectively.Then, 14x: 8y: 7z= 5 : 7 : 8.Now,14x=598x= 40yy=49x8y720And,14x=5112x= 35zz=112x=16x.7z8355x:y:z=x:49x:16x= 20 : 49 : 64.205"
"A starts business with Rs. 3500 and after 5 months, B joins with A as his partner. After a year, the profit is divided in the ratio 2 : 3. What is B's contribution in the capital?","['Rs. 7500', 'Rs. 8000', 'Rs. 8500', 'Rs. 9000']",D,"Let B's capital be Rs.x.Then,3500 x 12=27x314x= 126000x= 9000."
"A and B entered into partnership with capitals in the ratio 4 : 5. After 3 months, A withdrewof his capital and B withdrewof his capital. The gain at the end of 10 months was Rs. 760. A's share in this profit is:","['Rs. 330', 'Rs. 360', 'Rs. 380', 'Rs. 430']",A,A : B =4xx 3 +4x-1x 4xx 7:5xx 3 +5x-1x 5xx 745= (12x+ 21x) : (15x+ 28x)= 33x:43x= 33 : 43.A's share = Rs.760 x33= Rs. 330.76
"A and B started a partnership business investing some amount in the ratio of 3 : 5. C joined then after six months with an amount equal to that of B. In what proportion should the profit at the end of one year be distributed among A, B and C?","['3 : 5 : 2', '3 : 5 : 5', '6 : 10 : 5', 'Data inadequate']",C,Let the initial investments of A and B be 3xand 5x.A : B : C = (3xx 12) : (5xx 12) : (5xx 6) = 36 : 60 : 30 = 6 : 10 : 5.
"A, B, C rent a pasture. A puts 10 oxen for 7 months, B puts 12 oxen for 5 months and C puts 15 oxen for 3 months for grazing. If the rent of the pasture is Rs. 175, how much must C pay as his share of rent?","['Rs. 45', 'Rs. 50', 'Rs. 55', 'Rs. 60']",A,A : B : C = (10 x 7) : (12 x 5) : (15 x 3) = 70 : 60 : 45 = 14 : 12 : 9.C's rent = Rs.175 x9= Rs. 45.35
"A and B started a business in partnership investing Rs. 20,000 and Rs. 15,000 respectively. After six months, C joined them with Rs. 20,000. What will be B's share in total profit of Rs. 25,000 earned at the end of 2 years from the starting of the business?","['Rs. 7500', 'Rs. 9000', 'Rs. 9500', 'Rs. 10,000']",A,"A : B : C = (20,000 x 24) : (15,000 x 24) : (20,000 x 18) = 4 : 3 : 3.B's share = Rs.25000 x3= Rs. 7,500.10"
