question,options,answer,explanation
"120, 99, 80, 63, 48, ?","['35', '38', '39', '40']",A,"The pattern is - 21, - 19, - 17, - 15,.....So, missing term = 48 - 13 = 35."
"589654237, 89654237, 8965423, 965423, ?","['58965', '65423', '89654', '96542']",D,The digits are removed one by one from the beginning and the end in order alternatelyso as to obtain the subsequent terms of the series.
"3, 4, 7, 7, 13, 13, 21, 22, 31, 34, ?","['42', '43', '51', '52']",B,"The given sequence is a combination of two series :I. 3, 7, 13, 21, 31, ? and II. 4, 7, 13, 22, 34The pattern in I is + 4, + 6, + 8, + 10,.....The pattern in II is + 3, + 6, + 9, + 12,.....So, missing term = 31 + 12 = 43."
"198, 194, 185, 169, ?","['92', '112', '136', '144']",D,"The pattern is - 4, - 9, - 16,.....i.e. - 22, - 32, - 42,.....So, missing pattern = 169 - 52= 169 - 25 = 144."
"2, 3, 5,7,11,?, 17","['12', '13', '14', '15']",B,"Clearly, the given series consists of prime numbers starting from 2. So, the missingterm is the prime number after 11, which is 13."
"6, 12, 21, ?, 48","['33', '38', '40', '45']",A,"The pattern is + 6, + 9, + 12, + 15, .....So, missing term = 21 + 12 = 33."
"Which term of the series 5, 10, 20, 40, ..... is 1280?","['10th', '9th', '8th', 'None of these']",B,"Clearly, 5 x 2 = 10, 10 x 2 = 20, 20 x 2 = 40,.....So, the series is a G.P. in which a = 5 and r = 2.Let 1280 be the rath term of the series.Then, 5x2n-1= 12802n-1= 256 = 28n - 1 = 8n = 9."
"2, 5, 9, ?, 20, 27","['14', '16', '18', '24']",A,"The pattern is + 3, + 4, + 5, + 6,.....So, missing term = 9 + 5 = 14."
"2, 3, 3, 5, 10, 13, ?, 43, 172, 177","['23', '38', '39', '40']",C,"The pattern is + 1, x 1, + 2, x 2, + 3, x 3, + 4, x 4, + 5.So, missing term = 13 x 3 = 39."
"9, 27, 31, 155, 161, 1127, ?","['316', '1135', '1288', '2254']",B,"The pattern is x 3, + 4, x 5, + 6, x 7,.....So, missing term = 1127 + 8 = 1135."
"2, 1, 2, 4, 4, 5, 6, 7, 8, 8, 10, 11, ?","['9', '10', '11', '12']",B,"The given sequence is a combination of three series :I. 1st, 4th, 7th, 10th, 13th terms i.e. 2, 4, 6, 8, ?II. 2nd, 5th, 8th, 11th terms i.e. 1, 4, 7, 10III. 3rd, 6th, 9th, 12th terms i.e. 2, 5, 8, 11Clearly, I consists of consecutive even numbers. So, the missing term is 10."
"Which of the following will not be a number of the series 1, 8, 27, 64, 125,.....?","['256', '512', '729', '1000']",A,The given series consists of cubes of natural numbers only. 256 is not the cube ofany natural number.
"3, 10, 101,?","['10101', '10201', '10202', '11012']",C,"Each term in the series is obtained by adding 1 to the square of the preceding term.So, missing term = (101)2+ 1 = 10202."
"13, 32, 24, 43, 35, ?, 46, 65, 57, 76","['45', '52', '54', '55']",C,"The given sequence is a combination of two series:I. 13, 24, 35, 46, 57 and II. 32, 43, ?, 65, 76The pattern in both I and II is + 11. So, missing term = 43 + 11 = 54."
"22, 24, 28, ?, 52, 84","['36', '38', '42', '46']",A,"The pattern is + 2, + 4, + 8, + 16,.....So, missing term = 28 + 8 = 36."
"3, 15, ?, 63, 99, 143","['27', '35', '45', '56']",B,"The terms of the given series are (22- 1), (42- 1),....., (82- 1), (102- 1), (122- 1).So, missing term = (62- 1) - (36 - 1) = 35."
"90, 180, 12, 50, 100, 200, ?, 3, 50, 4, 25, 2, 6, 30, 3","['150', '175', '225', '250']",A,"Clearly, 90 = 30 x 3, 180 = 6 x 30, 12 = 2 x 6, 50 = 25 x 2, 100 = 4 x 25, 200 = 50 x 4.So, missing term = 3 x 50 = 150."
"48, 24, 96, 48, 192, ?","['76', '90', '96', '98']",C,"The pattern is Ã· 2, x 4, Ã· 2, x 4, .....So, missing term = 192 Ã· 2 = 96."
"2,15,41,80,?","['111', '120', '121', '132']",D,"The pattern is + 13, + 26, + 39,.....So, missing term = 80 + 52 = 132."
"6, 11, 21, 36, 56, ?","['42', '51', '81', '91']",C,"The pattern is + 5, + 10, + 15, + 20, ...So, missing term = 56 + 25 = 81."
"563, 647, 479, 815, ?","['672', '386', '279', '143']",D,"The pattern is + 84, - 168, + 336,.....i.e. + 84, - (84 x 2), + (84 x 22), .....So, missing term = 815 - (84 x 23) = 815 - 672 = 143."
"13, 35, 57, 79, 911, ?","['1110', '1112', '1113', '1315']",C,"The terms of the given series are numbers formed by joining together consecutiveodd numbers in order i.e. 1 and 3, 3 and 5, 5 and 7, 7 and 9, 9 and 11, .....So, missing term = number formed by joining 11 and 13 = 1113."
"1, 4, 10, 22, 46, ?","['64', '86', '94', '122']",C,"The pattern is + 3, + 6, + 12, + 24,.....So, missing term = 46 + 48 = 94."
"In the series 2, 6, 18, 54, ...... what will be the 8th term ?","['4370', '4374', '7443', '7434']",B,"Clearly, 2 x 3 = 6, 6 x 3 = 18, 18 x 3 = 54,.....So, the series is a G.P. in which a = 2, r = 3.Therefore 8th term = ar8-1= ar7= 2 x 37= (2 x 2187) = 4374."
"66, 36, 18, ?","['3', '6', '8', '9']",C,"Each term in the series is the product of the digits of the preceding term.So, missing term = 1 x 8 = 8."
"In the series 3, 9, 15, ...... what will be the 21st term?","['117', '121', '123', '129']",C,"Clearly, 3 + 6 = 9, 9 + 6 = 15,.....So, the series is an A.P. in which a = 3 and d = 6.Therefore 21st term = a + (21 - 1) d = a + 20d = 3 + 20 x 6 = 123."
"28, 33, 31, 36, ?, 39","['32', '34', '38', '40']",B,"The pattern is + 5, - 2, + 5, - 2,.....So, missing term = 36 - 2 = 34."
