question,options,answer,explanation
"In order to obtain an income of Rs. 650 from 10% stock at Rs. 96, one must make an investment of:","['Rs. 3100', 'Rs. 6240', 'Rs. 6500', 'Rs. 9600']",B,"To obtain Rs. 10, investment = Rs. 96.To obtain Rs. 650, investment = Rs.96x 650= Rs. 6240.10"
"A man bought 20 shares of Rs. 50 at 5 discount, the rate of dividend being 13. The rate of interest obtained is:","['121%2', '131%2', '15%', '162%3']",C,Investment = Rs. [20 x (50 - 5)] = Rs. 900.Face value = Rs. (50 x 20) = Rs. 1000.Dividend = Rs.27x1000= Rs. 135.2100Interest obtained =135x 100%= 15%900
A man invested Rs. 1552 in a stock at 97 to obtain an income of Rs. 128. The dividend from the stock is:,"['7.5%', '8%', '9.7%', 'None of these']",B,"By investing Rs. 1552, income = Rs. 128.By investing Rs. 97, income = Rs.128x 97= Rs. 8.1552Dividend = 8%"
A 12% stock yielding 10% is quoted at:,"['Rs. 83.33', 'Rs. 110', 'Rs. 112', 'Rs. 120']",D,"To earn Rs. 10, money invested = Rs. 100.To earn Rs. 12, money invested = Rs.100x 12= Rs. 120.10Market value of Rs. 100 stock = Rs. 120."
"The market value of a 10.5% stock, in which an income of Rs. 756 is derived by investing Rs. 9000, brokerage being%, is:","['Rs. 108.25', 'Rs. 112.20', 'Rs. 124.75', 'Rs. 125.25']",C,"For an income of Rs. 756, investment = Rs. 9000.For an income of Rs.21, investment = Rs.9000x21= Rs. 125.27562For a Rs. 100 stock, investment = Rs. 125.Market value of Rs. 100 stock = Rs.125 -1= Rs. 124.754"
"The cost price of a Rs. 100 stock at 4 discount, when brokerage is1%is:4","['Rs. 95.75', 'Rs. 96', 'Rs. 96.25', 'Rs. 104.25']",C,C.P. = Rs.100 - 4 +1= Rs. 96.254
"Sakshi invests a part of Rs. 12,000 in 12% stock at Rs. 120 and the remainder in 15% stock at Rs. 125. If his total dividend per annum is Rs. 1360, how much does he invest in 12% stock at Rs. 120?","['Rs. 4000', 'Rs. 4500', 'Rs. 5500', 'Rs. 6000']",A,"Let investment in 12% stock be Rs.x.Then, investment in 15% stock = Rs. (12000 -x).12xx+15x (12000 -x) = 1360.120125x+3(12000 -x) = 1360.10255x+ 72000 - 6x= 1360 x 50x= 4000."
Which is better investment:  11% stock at 143  or  9% stock at 117?,"['11% stock at 143', '93% stock at 1174', 'Both are equally good', 'Cannot be compared, as the total amount of investment is not given.']",B,"Let investment in each case be Rs. (143 x 117).Income in 1stcase = Rs.11x 143 x 117= Rs. 1287.143Income in 2ndcase = Rs.39x 143 x 117= Rs. 1394.254 x 117Clearly, 93% stock at 117 is better.4"
A man buys Rs. 20 shares paying 9% dividend. The man wants to have an interest of 12% on his money. The market value of each share is:,"['Rs. 12', 'Rs. 15', 'Rs. 18', 'Rs. 21']",B,Dividend on Rs. 20 = Rs.9x 20= Rs.9.1005Rs. 12 is an income on Rs. 100.Rs.9is an income on Rs.100x9= Rs. 15.5125
"By investing in 16% stock at 64, one earns Rs. 1500. The investment made is:","['Rs. 5640', 'Rs. 5760', 'Rs. 7500', 'Rs. 9600']",B,"To earn Rs.50, investment = Rs. 64.3To earn Rs. 1500, investment = Rs.64 x3x 1500= Rs. 5760.50"
A 6% stock yields 8%. The market value of the stock is:,"['Rs. 48', 'Rs. 75', 'Rs. 96', 'Rs. 133.33']",B,"For an income of Rs. 8, investment = Rs. 100.For an income of Rs. 6, investment = Rs.100x 6= Rs. 75.8Market value of Rs. 100 stock = Rs. 75."
"A man invested Rs. 4455 in Rs. 10 shares quoted at Rs. 8.25. If the rate of dividend be 12%, his annual income is:","['Rs. 207.40', 'Rs. 534.60', 'Rs. 648', 'Rs. 655.60']",C,Number of shares =4455= 540.8.25Face value = Rs. (540 x 10) = Rs. 5400.Annual income = Rs.12x 5400= Rs. 648.100
Rs. 9800 are invested partly in 9% stock at 75 and 10% stock at 80 to have equal amount of incomes. The investment in 9% stock is:,"['Rs. 4800', 'Rs. 5000', 'Rs. 5400', 'Rs. 5600']",B,"Let the investment in 9% stock be Rs.x.Then, investment in 10% stock = Rs. (9800 -x).9xx=10x (9800 -x)75803x=9800 -x25824x= 9800 x 25 - 25x49x= 9800 x 25x= 5000."
"A man invests some money partly in 9% stock at 96 and partly in 12% stock at 120. To obtain equal dividends from both, he must invest the money in the ratio:","['3 : 4', '3 : 5', '4 : 5', '16 : 15']",D,"For an income of Re. 1 in 9% stock at 96, investment = Rs.96= Rs.3293For an income Re. 1 in 12% stock at 120, investment = Rs.120= Rs. 10.12Ratio of investments =32: 10 = 32 : 30 = 16 : 15.3"
"By investing Rs. 1620 in 8% stock, Michael earns Rs. 135. The stock is then quoted at:","['Rs. 80', 'Rs. 96', 'Rs. 106', 'Rs. 108']",B,"To earn Rs. 135, investment = Rs. 1620.To earn Rs. 8, investment = Rs.1620x 8= Rs. 96.135Market value of Rs. 100 stock = Rs.  96."
