question,options,answer,explanation
"A can do a work in 15 days and B in 20 days. If they work on it together for 4 days, then the fraction of the work that is left is :","['14', '110', '715', '815']",D,"A's 1 day's work =1;15B's 1 day's work =1;20(A + B)'s 1 day's work =1+1=7.152060(A + B)'s 4 day's work =7x 4=7.6015Therefore, Remaining work =1 -7=8.1515"
"A can lay railway track between two given stations in 16 days and B can do the same job in 12 days. With help of C, they did the job in 4 days only. Then, C alone can do the job in:","['91days5', '92days5', '93days5', '10']",C,"(A + B + C)'s 1 day's work =1,4A's 1 day's work =1,16B's 1 day's work =1.12C's 1 day's work =1-1+1=1-7=5.4161244848So, C alone can do the work in48= 93days.55"
"A can finish a work in 18 days and B can do the same work in 15 days. B worked for 10 days and left the job. In how many days, A alone can finish the remaining work?","['5', '512', '6', '8']",C,"B's 10 day's work =1x 10=2.153Remaining work =1 -2=1.33Now,1work is done by A in 1 day.181work is done by A in18 x1= 6 days.33"
"4 men and 6 women can complete a work in 8 days, while 3 men and 7 women can complete it in 10 days. In how many days will 10 women complete it?","['35', '40', '45', '50']",B,"Let 1 man's 1 day's work =xand 1 woman's 1 day's work =y.Then, 4x+ 6y=1and 3x+ 7y=1.810Solving the two equations, we get:x=11,y=14004001 woman's 1 day's work =1.40010 women's 1 day's work =1x 10=1.40040Hence, 10 women will complete the work in 40 days."
"A and B can together finish a work 30 days. They worked together for 20 days and then B left. After another 20 days, A finished the remaining work. In how many days A alone can finish the work?","['40', '50', '54', '60']",D,"(A + B)'s 20 day's work =1x 20=2.303Remaining work =1 -2=1.33Now,1work is done by A in 20 days.3Therefore, the whole work will be done by A in (20 x 3) = 60 days."
"P can complete a work in 12 days working 8 hours a day. Q can complete the same work in 8 days working 10 hours a day. If both P and Q work together, working 8 hours a day, in how many days can they complete the work?","['5511', '5611', '6511', '6611']",A,"P can complete the work in (12 x 8) hrs. = 96 hrs.Q can complete the work in (8 x 10) hrs. = 80 hrs.P's1 hour's work =1and Q's 1 hour's work =1.9680(P + Q)'s 1 hour's work =1+1=11.9680480So, both P and Q will finish the work in480hrs.11Number of days of 8 hours each =480x1=60days = 55days.1181111"
X and Y can do a piece of work in 20 days and 12 days respectively. X started the work alone and then after 4 days Y joined him till the completion of the work. How long did the work last?,"['6 days', '10 days', '15 days', '20 days']",B,"Work done by X in 4 days =1x 4=1.205Remaining work =1 -1=4.55(X + Y)'s 1 day's work =1+1=8=2.20126015Now,2work is done by X and Y in 1 day.15So,4work will be done by X and Y in15x4= 6 days.525Hence, total time taken = (6 + 4) days = 10 days."
"A is 30% more efficient than B. How much time will they, working together, take to complete a job which A alone could have done in 23 days?","['11 days', '13 days', '203days17', 'None of these']",B,"Ratio of times taken by A and B = 100 : 130 = 10 : 13.Suppose B takesxdays to do the work.Then, 10 : 13 :: 23 :xx=23 x 13x=299.1010A's 1 day's work =1;23B's 1 day's work =10.299(A + B)'s 1 day's work =1+10=23=1.2329929913Therefore, A and B together can complete the work in 13 days."
"Ravi and Kumar are working on an assignment. Ravi takes 6 hours to type 32 pages on a computer, while Kumar takes 5 hours to type 40 pages. How much time will they take, working together on two different computers to type an assignment of 110 pages?","['7 hours 30 minutes', '8 hours', '8 hours 15 minutes', '8 hours 25 minutes']",C,Number of pages typed by Ravi in 1 hour =32=16.63Number of pages typed by Kumar in 1 hour =40= 8.5Number of pages typed by both in 1 hour =16+ 8=40.33Time taken by both to type 110 pages =110 x3hours40= 81hours (or) 8 hours 15 minutes.4
"A, B and C can complete a piece of work in 24, 6 and 12 days respectively. Working together, they will complete the same work in:","['1day24', '7day24', '33days7', '4 days']",C,"Formula:If A can do a piece of work inndays, then A's 1 day's work =1.n(A + B + C)'s 1 day's work =1+1+1=7.2461224Formula:If A's 1 day's work =1,then A can finish the work inndays.nSo, all the three together will complete the job in24days=33days.77"
Sakshi can do a piece of work in 20 days. Tanya is 25% more efficient than Sakshi. The number of days taken by Tanya to do the same piece of work is:,"['15', '16', '18', '25']",B,"Ratio of times taken by Sakshi and Tanya = 125 : 100 = 5 : 4.Suppose Tanya takesxdays to do the work.5 : 4::20 :xx=4 x 205x= 16 days.Hence, Tanya takes 16 days to complete the work."
"A, B and C can do a piece of work in 20, 30 and 60 days respectively. In how many days can A do the work if he is assisted by B and C on every third day?","['12 days', '15 days', '16 days', '18 days']",B,"A's 2 day's work =1x 2=1.2010(A + B + C)'s 1 day's work =1+1+1=6=1.2030606010Work done in 3 days =1+1=1.10105Now,1work is done in 3 days.5Whole work will be done in (3 x 5) = 15 days."
