question,options,answer,explanation
"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remainder in each case.","['4', '7', '9', '13']",A,"Required number = H.C.F. of (91 - 43), (183 - 91) and (183 - 43)= H.C.F. of 48, 92 and 140 = 4."
The H.C.F. of two numbers is 23 and the other two factors of their L.C.M. are 13 and 14. The larger of the two numbers is:,"['276', '299', '322', '345']",C,"Clearly, the numbers are (23 x 13) and (23 x 14).Larger number = (23 x 14) = 322."
"Find the lowest common multiple of 24, 36 and 40.","['120', '240', '360', '480']",C,2 | 24  -  36  - 40--------------------2 | 12  -  18  - 20--------------------2 |  6  -   9  - 10-------------------3 |  3  -   9  -  5-------------------|  1  -   3  -  5L.C.M.  = 2 x 2 x 2 x 3 x 3 x 5 = 360.
"The least number which should be added to 2497 so that the sum is exactly divisible by 5, 6, 4 and 3 is:","['3', '13', '23', '33']",C,"L.C.M. of 5, 6, 4 and 3 = 60.On dividing 2497 by 60, the remainder is 37.Number to be added = (60 - 37) = 23."
Reduce128352to its lowest terms.238368,"['34', '513', '713', '913']",C,"128352) 238368 ( 1
         128352
         ---------------
         110016 ) 128352 ( 1
                  110016
                 ------------------  
                   18336 ) 110016 ( 6       
                           110016
                           -------
                                x
                           -------
 So, H.C.F. of 128352 and 238368 = 18336.
 
             128352     128352 ÷ 18336    7
 Therefore,  ------  =  -------------- =  --
             238368     238368 ÷ 18336    13"
"The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:","['1677', '1683', '2523', '3363']",B,"L.C.M. of 5, 6, 7, 8 = 840.Required number is of the form 840k + 3Least value ofkfor which (840k+ 3) is divisible by 9 isk= 2.Required number = (840 x 2 + 3) = 1683."
"A, B and C start at the same time in the same direction to run around a circular stadium. A completes a round in 252 seconds, B in 308 seconds and c in 198 seconds, all starting at the same point. After what time will they again at the starting point ?","['26 minutes and 18 seconds', '42 minutes and 36 seconds', '45 minutes', '46 minutes and 12 seconds']",D,"L.C.M. of 252, 308 and 198 = 2772.So, A, B and C will again meet at the starting point in 2772 sec.i.e.,46 min. 12 sec."
"The H.C.F. of two numbers is 11 and their L.C.M. is 7700. If one of the numbers is 275, then the other is:","['279', '283', '308', '318']",C,Other number =11 x 7700= 308.275
"What will be the least number which when doubled will be exactly divisible by 12, 18, 21 and 30 ?","['196', '630', '1260', '2520']",B,"L.C.M. of 12, 18, 21 30                 2 | 12  -  18  -  21  -  30----------------------------= 2 x 3 x 2 x 3 x 7 x 5 = 1260.       3 |  6  -   9  -  21  -  15----------------------------Required number = (1260 ÷ 2)            |  2  -   3  -   7  -   5= 630."
The ratio of two numbers is 3 : 4 and their H.C.F. is 4. Their L.C.M. is:,"['12', '16', '24', '48']",D,"Let the numbers be 3xand 4x. Then, their H.C.F. =x. So,x= 4.So, the numbers 12 and 16.L.C.M. of 12 and 16 = 48."
"The smallest number which when diminished by 7, is divisible 12, 16, 18, 21 and 28 is:","['1008', '1015', '1022', '1032']",B,"Required number = (L.C.M. of 12,16, 18, 21, 28) + 7= 1008 + 7= 1015"
252 can be expressed as a product of primes as:,"['2 x 2 x 3 x 3 x 7', '2 x 2 x 2 x 3 x 7', '3 x 3 x 3 x 3 x 7', '2 x 3 x 3 x 3 x 7']",A,"Clearly, 252 = 2 x 2 x 3 x 3 x 7."
"Six bells commence tolling together and toll at intervals of 2, 4, 6, 8 10 and 12 seconds respectively. In 30 minutes, how many times do they toll together ?","['4', '10', '15', '16']",D,"L.C.M. of 2, 4, 6, 8, 10, 12 is 120.So, the bells will toll together after every 120 seconds(2 minutes).In 30 minutes, they will toll together30+ 1 = 16 times.2"
"The greatest possible length which can be used to measure exactly the lengths 7 m, 3 m 85 cm, 12 m 95 cm is:","['15 cm', '25 cm', '35 cm', '42 cm']",C,"Required length = H.C.F. of 700 cm, 385 cm and 1295 cm = 35 cm."
Three numbers which are co-prime to each other are such that the product of the first two is 551 and that of the last two is 1073. The sum of the three numbers is:,"['75', '81', '85', '89']",C,"Since the numbers are co-prime, they contain only 1 as the common factor.Also, the given two products have the middle number in common.So, middle number = H.C.F. of 551 and 1073 = 29;First number =551= 19;    Third number =1073= 37.2929Required sum = (19 + 29 + 37) = 85."
Find the highest common factor of 36 and 84.,"['4', '6', '12', '18']",C,36 = 22x 3284 = 22x 3 x 7H.C.F.  = 22x 3 =  12.
Which of the following fraction is the largest ?,"['78', '1316', '3140', '6380']",A,"L.C.M. of 8, 16, 40 and 80 = 80.7=70;13=65;31=6288016804080Since,70>65>63>62, so7>13>63>31808080808168040So,7is the largest.8"
"The least number, which when divided by 12, 15, 20 and 54 leaves in each case a remainder of 8 is:","['504', '536', '544', '548']",D,"Required number = (L.C.M. of 12, 15, 20, 54) + 8= 540 + 8= 548."
"The greatest number which on dividing 1657 and 2037 leaves remainders 6 and 5 respectively, is:","['123', '127', '235', '305']",B,Required number = H.C.F. of (1657 - 6) and (2037 - 5)= H.C.F. of 1651 and 2032 = 127.
Which of the following has the most number of divisors?,"['99', '101', '176', '182']",C,"99 = 1 x 3 x 3 x 11101 = 1 x 101176 = 1 x 2 x 2 x 2 x 2 x 11182 = 1 x 2 x 7 x 13So, divisors of 99 are 1, 3, 9, 11, 33, .99Divisors of 101 are 1 and 101Divisors of 176 are 1, 2, 4, 8, 11, 16, 22, 44, 88 and 176Divisors of 182 are 1, 2, 7, 13, 14, 26, 91 and 182.Hence, 176 has the most number of divisors."
The L.C.M. of two numbers is 48. The numbers are in the ratio 2 : 3. Then sum of the number is:,"['28', '32', '40', '64']",C,"Let the numbers be 2xand 3x.Then, their L.C.M. = 6x.So, 6x= 48 orx= 8.The numbers are 16 and 24.Hence, required sum = (16 + 24) = 40."
"The H.C.F. of9,12,18and21is:10253540","['35', '2525', '31400', '63700']",C,"Required H.C.F. =H.C.F. of 9, 12, 18, 21=3L.C.M. of 10, 25, 35, 401400"
"If the sum of two numbers is 55 and the H.C.F. and L.C.M. of these numbers are 5 and 120 respectively, then the sum of the reciprocals of the numbers is equal to:","['55601', '60155', '11120', '12011']",C,"Let the numbers beaandb.Then,a+b= 55 andab= 5 x 120 = 600.The required sum =1+1=a+b=55=11abab600120"
"Let N be the greatest number that will divide 1305, 4665 and 6905, leaving the same remainder in each case. Then sum of the digits in N is:","['4', '5', '6', '8']",A,"N = H.C.F. of (4665 - 1305), (6905 - 4665) and (6905 - 1305)= H.C.F. of 3360, 2240 and 5600 = 1120.Sum of digits in N = ( 1 + 1 + 2 + 0 ) = 4"
"The greatest number of four digits which is divisible by 15, 25, 40 and 75 is:","['9000', '9400', '9600', '9800']",C,"Greatest number of 4-digits is 9999.L.C.M. of 15, 25, 40 and 75 is 600.On dividing 9999 by 600, the remainder is 399.Required number (9999 - 399) = 9600."
"The product of two numbers is 4107. If the H.C.F. of these numbers is 37, then the greater number is:","['101', '107', '111', '185']",C,"Let the numbers be 37aand 37b.Then, 37ax 37b= 4107ab= 3.Now, co-primes with product 3 are (1, 3).So, the required numbers are (37 x 1, 37 x 3)i.e.,(37, 111).Greater number =  111."
Three number are in the ratio of 3 : 4 : 5 and their L.C.M. is 2400. Their H.C.F. is:,"['40', '80', '120', '200']",A,"Let the numbers be 3x, 4xand 5x.Then, their L.C.M. = 60x.So, 60x= 2400 or x = 40.The numbers are (3 x 40), (4 x 40) and (5 x 40).Hence, required H.C.F. = 40."
"The G.C.D. of 1.08, 0.36 and 0.9 is:","['0.03', '0.9', '0.18', '0.108']",C,"Given numbers are 1.08, 0.36 and 0.90.   H.C.F. of 108, 36 and 90 is 18,H.C.F. of given numbers = 0.18."
The product of two numbers is 2028 and their H.C.F. is 13. The number of such pairs is:,"['1', '2', '3', '4']",B,"Let the numbers 13aand 13b.Then, 13ax 13b= 2028ab= 12.Now, the co-primes with product 12 are (1, 12) and (3, 4).[Note: Two integersaandbare said to becoprimeor relatively prime if they have no common positive factor other than 1 or, equivalently, if their greatest common divisor is 1 ]So, the required numbers are (13 x 1, 13 x 12) and (13 x 3, 13 x 4).Clearly, there are 2 such pairs."
"The least multiple of 7, which leaves a remainder of 4, when divided by 6, 9, 15 and 18 is:","['74', '94', '184', '364']",D,"L.C.M. of 6, 9, 15 and 18 is 90.Let required number be 90k+ 4, which is multiple of 7.Least value ofkfor which (90k+ 4) is divisible by 7 isk= 4.Required number = (90 x 4) + 4   = 364."
