question,options,answer,explanation
"Three pipes A, B and C can fill a tank from empty to full in 30 minutes, 20 minutes, and 10 minutes respectively. When the tank is empty, all the three pipes are opened. A, B and C discharge chemical solutions P,Q and R respectively. What is the proportion of the solution R in the liquid in the tank after 3 minutes?","['511', '611', '711', '811']",B,Part filled by (A + B + C) in 3 minutes = 31+1+1=3 x11=11.3020106020Part filled by C in 3 minutes =3.10Required ratio =3x20=6.101111
"Pipes A and B can fill a tank in 5 and 6 hours respectively. Pipe C can empty it in 12 hours. If all the three pipes are opened together, then the tank will be filled in:","['113hours17', '28hours11', '39hours17', '41hours2']",C,"Net part filled in 1 hour1+1-1=17.561260The tank will be full in60hoursi.e.,39hours.1717"
"One pipe can fill a tank three times as fast as another pipe. If together the two pipes can fill the tank in 36 minutes, then the slower pipe alone will be able to fill the tank in:","['81 min.', '108 min.', '144 min.', '192 min.']",C,"Let the slower pipe alone fill the tank inxminutes.Then, faster pipe will fill it inxminutes.31+3=1xx364=1x36x= 144 min."
A large tanker can be filled by two pipes A and B in 60 minutes and 40 minutes respectively. How many minutes will it take to fill the tanker from empty state if B is used for half the time and A and B fill it together for the other half?,"['15 min', '20 min', '27.5 min', '30 min']",D,"Part filled by (A + B) in 1 minute =1+1=1.604024Suppose the tank is filled inxminutes.Then,x1+1= 122440xx1= 1215x= 30 min."
"A tap can fill a tank in 6 hours. After half the tank is filled, three more similar taps are opened. What is the total time taken to fill the tank completely?","['3 hrs 15 min', '3 hrs 45 min', '4 hrs', '4 hrs 15 min']",B,"Time taken by one tap to fillhalf of the tank= 3 hrs.Part filled by the four taps in 1 hour =4 x1=2.63Remaining part =1 -1=1.222:1::1 :x32x=1x 1 x3=3hoursi.e.,45 mins.224So, total time taken = 3 hrs. 45 mins."
"Three taps A, B and C can fill a tank in 12, 15 and 20 hours respectively. If A is open all the time and B and C are open for one hour each alternately, the tank will be full in:","['6 hours', '62hours3', '7 hours', '71hours2']",C,"(A + B)'s 1 hour's work =1+1=9=3.12156020(A + C)'s  hour's work =1+1=8=2.12206015Part filled in 2 hrs =3+2=17.201560Part filled in 6 hrs =3 x17=17.6020Remaining part =1 -17=3.2020Now, it is the turn of A and B and3part is filled by A and B in 1 hour.20Total time taken to fill the tank = (6 + 1) hrs = 7 hrs."
"Three pipes A, B and C can fill a tank in 6 hours. After working at it together for 2 hours, C is closed and A and B can fill the remaining part in 7 hours. The number of hours taken by C alone to fill the tank is:","['10', '12', '14', '16']",C,Part filled in 2 hours =2=163Remaining part =1 -1=2.33(A + B)'s 7 hour's work =23(A + B)'s 1 hour's work =221C's 1 hour's work = { (A + B + C)'s 1 hour's work } - { (A + B)'s 1 hour's work }=1-2=162114C alone can fill the tank in 14 hours.
"A pump can fill a tank with water in 2 hours. Because of a leak, it took 2hours to fill the tank. The leak can drain all the water of the tank in:","['41hours3', '7 hours', '8 hours', '14 hours']",D,Work done by the leak in 1 hour =1-3=1.2714Leak will empty the tank in 14 hrs.
"Two pipes A and B can fill a cistern in 37minutes and 45 minutes respectively. Both pipes are opened. The cistern will be filled in just half an hour, if the B is turned off after:","['5 min.', '9 min.', '10 min.', '15 min.']",B,"Let B be turned off afterxminutes. Then,Part filled by (A + B) inxmin. + Part filled by A in (30 -x) min. = 1.x2+1+ (30 -x).2= 175457511x+(60 -2x)= 12257511x+ 180 - 6x= 225.x= 9."
A tank is filled by three pipes with uniform flow. The first two pipes operating simultaneously fill the tank in the same time during which the tank is filled by the third pipe alone. The second pipe fills the tank 5 hours faster than the first pipe and 4 hours slower than the third pipe. The time required by the first pipe is:,"['6 hours', '10 hours', '15 hours', '30 hours']",C,"Suppose, first pipe alone takesxhours to fill the tank .Then, second and third pipes will take (x-5) and (x- 9) hours respectively to fill the tank.1+1=1x(x- 5)(x- 9)x- 5 +x=1x(x- 5)(x- 9)(2x- 5)(x- 9) =x(x- 5)x2- 18x+ 45 = 0(x- 15)(x- 3) = 0x= 15.    [neglectingx= 3]"
