query,query_number,start_page,end_page
Statement-and-Argument,05000,1,11
Logical-Deduction,04900,1,11
Statement-and-Assumption,04300,1,10
Course-of-Action,04700,1,10
Statement-and-Conclusion,04300,1,10
Number-Series,00100,1,4
Letter-and-Symbol-Series,00500,1,3
Verbal-Classification,00700,1,4
Essential-Part,00900,1,3
Analogies,01200,1,4
Artificial-Language,01800,1,3
Matching-Definitions,02000,1,3
Making-Judgments,02100,1,2
Verbal-Reasoning,02200,1,2
Logical-Problems,02300,1,3
Analyzing-Arguments,03200,1,2
Theme-Detection,03800,1,4
Cause-and-Effect,04200,1,6
