question,options,answer,explanation
An accurate clock shows 8 o'clock in the morning. Through how may degrees will the hour hand rotate when the clock shows 2 o'clock in the afternoon?,"['144°', '150°', '168°', '180°']",D,Angle traced by the hour hand in 6 hours =360x 6°= 180°.12
The reflex angle between the hands of a clock at 10.25 is:,"['180°', '1921°2', '195°', '1971°2']",D,Angle traced by hour hand in125hrs =360x125°= 3121°.1212122Angle traced by minute hand in 25 min =360x 25°= 150°.60Reflex angle = 360° -3121- 150°= 360° - 1621°= 1971°.222
How many times are the hands of a clock at right angle in a day?,"['22', '24', '44', '48']",C,"In 12 hours, they are at right angles 22 times.In 24 hours, they are at right angles 44 times."
"The angle between the minute hand and the hour hand of a clock when the time is 8.30, is:","['80°', '75°', '60°', '105°']",B,Angle traced by hour hand in17hrs =360x17°= 255°.2122Angle traced by min. hand in 30 min. =360x 30°= 180°.60Required angle = (255 - 180)° = 75°.
"How many times in a day, are the hands of a clock in straight line but opposite in direction?","['20', '22', '24', '48']",B,"The hands of a clock point in opposite directions (in the same straight line) 11 times in every 12 hours. (Because between 5 and 7 they point in opposite directions at 6 o'clock only).So, in a day, the hands point in the opposite directions 22 times."
At what time between 4 and 5 o'clock will the hands of a watch point in opposite directions?,"['45 min. past 4', '40 min. past 4', '504min. past 411', '546min. past 411']",D,"At 4 o'clock, the hands of the watch are 20 min. spaces apart.To be in opposite directions, they must be 30 min. spaces apart.Minute hand will have to gain 50 min. spaces.55 min. spaces are gained in 60 min.50 min. spaces are gained in60x 50min. or 546min.5511Required time = 546min. past 4.11"
At what time between 9 and 10 o'clock will the hands of a watch be together?,"['45 min. past 9', '50 min. past 9', '491min. past 911', '482min. past 911']",C,"To be together between 9 and 10 o'clock, the minute hand has to gain 45 min. spaces.55 min. spaces gained in 60 min.45 min. spaces are gained in60x 45min or 491min.5511The hands are together at 491min. past 9.11"
"At what time, in minutes, between 3 o'clock and 4 o'clock, both the needles will coincide each other?","['51""11', '124""11', '134""11', '164""11']",D,"At 3 o'clock, the minute hand is 15 min. spaces apart from the hour hand.To be coincident, it must gain 15 min. spaces.55 min. are gained in 60 min.15 min. are gained in60x 15min=164min.5511The hands are coincident at 164min. past 3.11"
How many times do the hands of a clock coincide in a day?,"['20', '21', '22', '24']",C,"The hands of a clock coincide 11 times in every 12 hours (Since between 11 and 1, they coincide only once,i.e.,at 12 o'clock).AM12:001:052:113:164:225:276:337:388:449:4910:55PM12:001:052:113:164:225:276:337:388:449:4910:55The hands overlap about every 65 minutes, not every 60 minutes.The hands coincide 22 times in a day."
"How many times in a day, the hands of a clock are straight?","['22', '24', '44', '48']",C,"In 12 hours, the hands coincide or are in opposite direction 22 times.In 24 hours, the hands coincide or are in opposite direction 44 times a day."
A watch which gains uniformly is 2 minutes low at noon on Monday and is 4 min. 48 sec fast at 2 p.m. on the following Monday. When was it correct?,"['2 p.m. on Tuesday', '2 p.m. on Wednesday', '3 p.m. on Thursday', '1 p.m. on Friday']",B,"Time from 12 p.m. on Monday to 2 p.m. on the following Monday = 7 days 2 hours = 170 hours.The watch gains2 + 44min.or34min. in 170 hrs.55Now,34min. are gained in 170 hrs.52 min. are gained in170 x5x 2hrs= 50 hrs.34Watch is correct 2 days 2 hrs. after 12 p.m. on Mondayi.e.,it will be correct at 2 p.m. on Wednesday."
"A clock is started at noon. By 10 minutes past 5, the hour hand has turned through:","['145°', '150°', '155°', '160°']",C,"Angle traced by hour hand in 12 hrs = 360°.Angle traced by hour hand in 5 hrs 10 min.i.e.,31hrs =360x31°= 155°.6126"
"A watch which gains 5 seconds in 3 minutes was set right at 7 a.m. In the afternoon of the same day, when the watch indicated quarter past 4 o'clock, the true time is:","['597min. past 312', '4 p.m.', '587min. past 311', '23min. past 411']",B,"Time from 7 a.m. to 4.15 p.m. = 9 hrs 15 min. =37hrs.43 min. 5 sec. of this clock = 3 min. of the correct clock.37hrs of this clock =1hrs of the correct clock.7202037hrs of this clock =1x720x37hrs of the correct clock.420374= 9 hrs of the correct clock.The correct time is 9 hrs after 7 a.m.i.e.,4 p.m."
"How much does a watch lose per day, if its hands coincide every 64 minutes?","['328min.11', '365min.11', '90 min.', '96 min.']",A,55 min. spaces are covered in 60 min.60 min. spaces are covered in60x 60min.= 655min.5511Loss in 64 min. =655- 64=16min.1111Loss in 24 hrs =16x1x 24 x 60min.=328min.116411
"At what time between 7 and 8 o'clock will the hands of a clock be in the same straight line but, not together?","['5 min. past 7', '52min. past 711', '53min. past 711', '55min. past 711']",D,"When the hands of the clock are in the same straight line but not together, they are 30 minute spaces apart.At 7 o'clock, they are 25 min. spaces apart.Minute hand will have to gain only 5 min. spaces.55 min. spaces are gained in 60 min.5 min. spaces are gained in60x 5min= 55min.5511Required time = 55min. past 7.11"
At what time between 5.30 and 6 will the hands of a clock be at right angles?,"['435min. past 511', '437min. past 511', '40 min. past 5', '45 min. past 5']",B,"At 5 o'clock, the hands are 25 min. spaces apart.To be at right angles and that too between 5.30 and 6, the minute hand has to gain (25 + 15) = 40 min. spaces.55 min. spaces are gained in 60 min.40 min. spaces are gained in60x 40min=437min.5511Required time = 437min. past 5.11"
"The angle between the minute hand and the hour hand of a clock when the time is 4.20, is:","['0°', '10°', '5°', '20°']",B,Angle traced by hour hand in13hrs =360x13°= 130°.3123Angle traced by min. hand in 20 min. =360x 20°= 120°.60Required angle = (130 - 120)° = 10°.
At what angle the hands of a clock are inclined at 15 minutes past 5?,"['581°2', '64°', '671°2', '721°2']",C,Angle traced by hour hand in21hrs =360x21°=1571°41242Angle traced by min. hand in 15 min. =360x 15°= 90°.60Required angle =1571°- 90° = 671°22
"At 3:40, the hour hand and the minute hand of a clock form an angle of:","['120°', '125°', '130°', '135°']",C,Angle traced by hour hand in 12 hrs. = 360°.Angle traced by it in11hrs =360x11°= 110°.3123Angle traced by minute hand in 60 min. = 360°.Angle traced by it in 40 min. =360x 40°= 240°.60Required angle (240 - 110)° = 130°.
