question,options,answer,explanation
"Alfred buys an old scooter for Rs. 4700 and spends Rs. 800 on its repairs. If he sells the scooter for Rs. 5800, his gain percent is:","['44%7', '55%11', '10%', '12%']",B,Cost Price (C.P.) = Rs. (4700 + 800) = Rs. 5500.Selling Price (S.P.) = Rs. 5800.Gain = (S.P.) - (C.P.) = Rs.(5800 - 5500) = Rs. 300.Gain % =300x 100%= 55%550011
"The cost price of 20 articles is the same as the selling price ofxarticles. If the profit is 25%, then the value ofxis:","['15', '16', '18', '25']",B,Let C.P. of each article be Re. 1 C.P. ofxarticles = Rs.x.S.P. ofxarticles = Rs. 20.Profit = Rs. (20 -x).20 -xx 100 = 25x2000 - 100x= 25x125x= 2000x= 16.Video Explanation:https://youtu.be/sidqvjUoZxY
"On selling 17 balls at Rs. 720, there is a loss equal to the cost price of 5 balls. The cost price of a ball is:","['Rs. 45', 'Rs. 50', 'Rs. 55', 'Rs. 60']",D,(C.P. of 17 balls) - (S.P. of 17 balls) = (C.P. of 5 balls)C.P. of 12 balls = S.P. of 17 balls = Rs.720.C.P. of 1 ball = Rs.720= Rs. 60.12
"When a plot is sold for Rs. 18,700, the owner loses 15%. At what price must that plot be sold in order to gain 15%?","['Rs. 21,000', 'Rs. 22,500', 'Rs. 25,300', 'Rs. 25,800']",C,"85 : 18700 = 115 :xx=18700 x 115= 25300.85Hence, S.P. = Rs. 25,300."
100 oranges are bought at the rate of Rs. 350 and sold at the rate of Rs. 48 per dozen. The percentage of profit or loss is:,"['142% gain7', '15% gain', '142% loss7', '15 % loss']",A,C.P. of 1 orange = Rs.350= Rs. 3.50100S.P. of 1 orange = Rs.48= Rs. 412Gain% =0.50x 100%=100% = 142%3.5077
A shopkeeper sells one transistor for Rs. 840 at a gain of 20% and another for Rs. 960 at a loss of 4%. His total gain or loss percent is:,"['515% loss17', '515% gain17', '62% gain3', 'None of these']",B,"C.P. of 1sttransistor = Rs.100x 840= Rs. 700.120C.P. of 2ndtransistor = Rs.100x 960= Rs. 100096So, total C.P. = Rs. (700 + 1000) = Rs. 1700.Total S.P. = Rs. (840 + 960) = Rs. 1800.Gain % =100x 100%= 515%170017"
"If selling price is doubled, the profit triples. Find the profit percent.","['6623', '100', '10513', '120']",B,"Let C.P. be Rs.xand S.P. be Rs.y.Then, 3(y-x) = (2y-x)y= 2x.Profit = Rs. (y-x) = Rs. (2x-x) = Rs.x.Profit % =xx 100% = 100%xVideo Explanation:https://youtu.be/dPzF10mGsWE"
"In a certain store, the profit is 320% of the cost. If the cost increases by 25% but the selling price remains constant, approximately what percentage of the selling price is the profit?","['30%', '70%', '100%', '250%']",B,"Let C.P.= Rs. 100. Then, Profit = Rs. 320, S.P. = Rs. 420.New C.P. = 125% of Rs. 100 = Rs. 125New S.P. = Rs. 420.Profit = Rs. (420 - 125) = Rs. 295.Required percentage =295x 100%=1475% = 70% (approximately).42021Video Explanation:https://youtu.be/bQA8SB8ycbw"
A vendor bought toffees at 6 for a rupee. How many for a rupee must he sell to gain 20%?,"['3', '4', '5', '6']",C,"C.P. of 6 toffees = Re. 1S.P. of 6 toffees = 120% of Re. 1 = Rs.65For Rs.6, toffees sold = 6.5For Re. 1, toffees sold =6 x5= 5.6Video Explanation:https://youtu.be/7wKrnZ0LKA8"
The percentage profit earned by selling an article for Rs. 1920 is equal to the percentage loss incurred by selling the same article for Rs. 1280. At what price should the article be sold to make 25% profit?,"['Rs. 2000', 'Rs. 2200', 'Rs. 2400', 'Data inadequate']",A,"Let C.P. be Rs.x.Then,1920 -xx 100 =x- 1280x 100xx1920 -x=x- 12802x= 3200x= 1600Required S.P. = 125% of Rs. 1600 = Rs.125x 1600= Rs 2000.100Video Explanation:https://youtu.be/0tTd5TwCspY"
"A shopkeeper expects a gain of 22.5% on his cost price. If in a week, his sale was of Rs. 392, what was his profit?","['Rs. 18.20', 'Rs. 70', 'Rs. 72', 'Rs. 88.25']",C,C.P. = Rs.100x 392= Rs.1000x 392= Rs. 320122.51225Profit = Rs. (392 - 320) = Rs. 72.Video Explanation:https://youtu.be/a36nJFgh5yk
A man buys a cycle for Rs. 1400 and sells it at a loss of 15%. What is the selling price of the cycle?,"['Rs. 1090', 'Rs. 1160', 'Rs. 1190', 'Rs. 1202']",C,S.P. = 85% of Rs. 1400 = Rs.85x 1400= Rs. 1190100Video Explanation:https://youtu.be/jn0XIafQvAc
Sam purchased 20 dozens of toys at the rate of Rs. 375 per dozen. He sold each one of them at the rate of Rs. 33. What was his percentage profit?,"['3.5', '4.5', '5.6', '6.5']",C,"Cost Price of 1 toy = Rs.375= Rs. 31.2512Selling Price of 1 toy = Rs. 33So, Gain = Rs. (33 - 31.25) = Rs. 1.75Profit % =1.75x 100%=28% = 5.6%31.255Video Explanation:https://youtu.be/MhswuvDVWzo"
Some articles were bought at 6 articles for Rs. 5 and sold at 5 articles for Rs. 6. Gain percent is:,"['30%', '331%3', '35%', '44%']",D,"Suppose, number of articles bought = L.C.M. of 6 and 5 = 30.C.P. of 30 articles = Rs.5x 30= Rs. 25.6S.P. of 30 articles = Rs.6x 30= Rs. 36.5Gain % =11x 100% = 44%.25"
