question,options,answer,explanation
"A vessel is filled with liquid, 3 parts of which are water and 5 parts syrup. How much of the mixture must be drawn off and replaced with water so that the mixture may be half water and half syrup?","['13', '14', '15', '17']",C,"Suppose the vessel initially contains 8 litres of liquid.Letxlitres of this liquid be replaced with water.Quantity of water in new mixture =3 -3x+xlitres8Quantity of syrup in new mixture =5 -5xlitres83 -3x+x=5 -5x885x+ 24 = 40 - 5x10x= 16x=8.5So, part of the mixture replaced =8x1=1.585"
"Tea worth Rs. 126 per kg and Rs. 135 per kg are mixed with a third variety in the ratio 1 : 1 : 2. If the mixture is worth Rs. 153 per kg, the price of the third variety per kg will be:","['Rs. 169.50', 'Rs. 170', 'Rs. 175.50', 'Rs. 180']",C,"Since first and second varieties are mixed in equal proportions.So, their average price = Rs.126 + 135= Rs. 130.502So, the mixture is formed by mixing two varieties, one at Rs. 130.50 per kg and the other at say, Rs.xper kg in the ratio 2 : 2,i.e.,1 : 1. We have to findx.By the rule of alligation, we have:Cost of 1 kg of 1stkindCost of 1 kg tea of 2ndkindRs. 130.50Mean PriceRs. 153Rs.x(x- 153)22.50x- 153= 122.50x- 153 = 22.50x= 175.50"
Find the ratio in which rice at Rs. 7.20 a kg be mixed with rice at Rs. 5.70 a kg to produce a mixture worth Rs. 6.30 a kg.,"['1 : 3', '2 : 3', '3 : 4', '4 : 5']",B,By the rule of alligation:Cost of 1 kg of 1stkindCost of 1 kg of 2ndkind720 pMean Price630 p570 p6090Required ratio = 60 : 90 = 2 : 3.
In what ratio must a grocer mix two varieties of tea worth Rs. 60 a kg and Rs. 65 a kg so that by selling the mixture at Rs. 68.20 a kg he may gain 10%?,"['3 : 2', '3 : 4', '3 : 5', '4 : 5']",A,"S.P. of 1 kg of the mixture = Rs. 68.20, Gain = 10%.C.P. of 1 kg of the mixture = Rs.100x 68.20= Rs. 62.110By the rule of alligation, we have:Cost of 1 kg tea of 1stkind.Cost of 1 kg tea of 2ndkind.Rs. 60Mean PriceRs. 62Rs. 6532Required ratio = 3 : 2."
"The cost of Type 1 rice is Rs. 15 per kg and Type 2 rice is Rs. 20 per kg. If both Type 1 and Type 2 are mixed in the ratio of 2 : 3, then the price per kg of the mixed variety of rice is:","['Rs. 18', 'Rs. 18.50', 'Rs. 19', 'Rs. 19.50']",A,"Let the price of the mixed variety be Rs.xper kg.By rule of alligation, we have:Cost of 1 kg of Type 1 riceCost of 1 kg of Type 2 riceRs. 15Mean PriceRs.xRs. 20(20 -x)(x- 15)(20 -x)=2(x- 15)360 - 3x= 2x- 305x= 90x= 18."
8 litres are drawn from a cask full of wine and is then filled with water. This operation is performed three more times. The ratio of the quantity of wine now left in cask to that of water is 16 : 65. How much wine did the cask hold originally?,"['18 litres', '24 litres', '32 litres', '42 litres']",B,"Let the quantity of the wine in the cask originally bexlitres.Then, quantity of wine left in cask after 4 operations =x1 -84litres.xx(1 - (8/x))4=16x811 -84=24x3x- 8=2x33x- 24 = 2xx= 24."
"A merchant has 1000 kg of sugar, part of which he sells at 8% profit and the rest at 18% profit. He gains 14% on the whole. The quantity sold at 18% profit is:","['400 kg', '560 kg', '600 kg', '640 kg']",C,"By the rule of alligation, we have:Profit on 1stpartProfit on 2ndpart8%Mean Profit14%18%46Ration of 1stand 2ndparts = 4 : 6 = 2 : 3Quantity of 2ndkind =3x 1000kg= 600 kg.5"
"A can contains a mixture of two liquids A and B is the ratio 7 : 5. When 9 litres of mixture are drawn off and the can is filled with B, the ratio of A and B becomes 7 : 9. How many litres of liquid A was contained by the can initially?","['10', '20', '21', '25']",C,"Suppose the can initially contains 7xand 5xof mixtures A and B respectively.Quantity of A in mixture left =7x-7x 9litres =7x-21litres.124Quantity of B in mixture left =5x-5x 9litres =5x-15litres.1247x-214=75x-15+ 94928x- 21=720x+ 219252x- 189 = 140x+ 147112x= 336x= 3.So, the can contained 21 litres of A."
A milk vendor has 2 cans of milk. The first contains 25% water and the rest milk. The second contains 50% water. How much milk should he mix from each of the containers so as to get 12 litres of milk such that the ratio of water to milk is 3 : 5?,"['4 litres, 8 litres', '6 litres, 6 litres', '5 litres, 7 litres', '7 litres, 5 litres']",B,"Let the cost of 1 litre milk be Re. 1Milk in 1 litre mix. in 1stcan =3litre, C.P. of 1 litre mix. in 1stcan Re.344Milk in 1 litre mix. in 2ndcan =1litre, C.P. of 1 litre mix. in 2ndcan Re.122Milk in 1 litre of final mix. =5litre, Mean price = Re.588By the rule of alligation, we have:C.P. of 1 litre mixture in 1stcanC.P. of 1 litre mixture in 2ndcan34Mean Price58121818Ratio of two mixtures =1:1= 1 : 1.88So, quantity of mixture taken from each can =1x 12= 6 litres.2"
In what ratio must a grocer mix two varieties of pulses costing Rs. 15 and Rs. 20 per kg respectively so as to get a mixture worth Rs. 16.50 kg?,"['3 : 7', '5 : 7', '7 : 3', '7 : 5']",C,By the rule of alligation:Cost of 1 kg pulses of 1stkindCost of 1 kg pulses of 2ndkindRs. 15Mean PriceRs. 16.50Rs. 203.501.50Required rate = 3.50 : 1.50  = 7 : 3.
