question,options,answer,explanation
Which one will replace the question mark ?,"['L10', 'K15', 'I15', 'K8']",D,"How the number is obtained?2 + 4 = 65 + 9 = 14Similarly,3 + 5 = 8Therefore, the answer is K8."
Which one will replace the question mark ?,"['1', '4', '3', '6']",D,(5 + 4 + 7)/2 =8(6 + 9 + 5)/2 =10(3 + 7 + 2)/2 =6.
Which one will replace the question mark ?,"['13', '14', '12', '15']",D,"Sum of numbers in lower half of the circle = 11 + 9 + 3 + 7 = 30Sum of numbers in upper half of the circle = ? + 4 + 5 + 6 = ? + 15Upper half = Lower half30 = ? + 15? = 30 - 15? = 15.Threfore, 15 is the answer."
Which one will replace the question mark ?,"['262', '622', '631', '824']",B,"915 - 364 =551and 789 - 543 =246Similarly, 863 - 241 =622."
Which one will replace the question mark ?,"['45', '29', '39', '37']",C,
Which one will replace the question mark ?,"['184', '210', '241', '425']",A,(12)2- (8)2=80and (16)2- (7)2=207Therefore (25)2- (21)2=184.
Which one will replace the question mark ?,"['25', '59', '48', '73']",D,"(2)3+ (1)3+ (3)3=36and (0)3+ (4)3+ (3)3=91Therefore, (4)3+ (2)3+ (1)3=73."
Which one will replace the question mark ?,"['0', '2', '11', '12']",C,(6 + 5) - (7 + 4) =0and (7 + 6) - (8 + 4) =1Therefore (11 + 2) - (2 + 0) =11.
Which one will replace the question mark ?,"['64', '144', '169', '25']",A,"The numbers are squared in ascending orderIn first circle,(3)2=9(4)2=16(5)2=25(6)2=36.In second circle,(4)2=16(5)2=25(6)2=36(7)2=49.In third circle,(6)2=36(7)2=49(8)2=64(9)2=81."
Which one will replace the question mark ?,"['8', '12', '16', '20']",C,(4 x 6) % 3 =8(6 x 10) % 5 =12(4 x 8) % 2 =16.
Which one will replace the question mark ?,"['3', '5', '4', '6']",B,(7 x 3) + 8 =29(4 x 3) + 7 =19(5 x ?) + 6 =31? =5.
Which one will replace the question mark ?,"['94', '76', '16', '73']",A,(4)2+ (2)2+ (1)2=21and (5)2+ (3)2+ (8)2=98Therefore (6)2+ (7)2+ (3)2=94.
Which one will replace the question mark ?,"['18', '12', '9', '6']",C,"(12 + 18 + 30)/10 =6(16 + 24 + 40)/10 =8Similarly, (45 + 18 + 27)/10 =9."
Which one will replace the question mark ?,"['75', '26', '25', '20']",B,(2)2+ (4)2=20and (3)2+ (9)2=90Therefore (1)2+ (5)2=26.
Which one will replace the question mark ?,"['18', '24', '36', '58']",B,(7 x 3) =21and (9 x 3) =27and (4 x 9) =36and (2 x 9) =18Therefore (9 x 6) =54and (4 x 6) =24.
Which one will replace the question mark ?,"['60', '30', '20', '45']",B,(16 + 13) = (14 + 15)and (28 + 12) = (10 + 30)Therefore (29 + 16) = (15 +30).
Which one will replace the question mark ?,"['15', '19', '20', '18']",D,(3 x 4) + 3 =15and (7 x 5) + 3 =38Therefore (3 x 5) + 3 =18.
Which one will replace the question mark ?,"['11', '14', '10', '12']",A,"(15 - 12) + (10 - 9) =4(28 - 12) + (16 - 20) =12Similarly, (23 -11) + (15- 16) =11."
Which one will replace the question mark ?,"['25', '625', '125', '50']",C,"All numbers are cubed,(7)3=343(1)3=1(3)3=27Similarly, (5)3=125."
Which one will replace the question mark ?,"['9', '6', '15', '14']",B,(4 + 9 + 2) = (3 + 5 + 7) = (8 + 1 +6)Total in each case = 15.
Which one will replace the question mark ?,"['30', '13', '70', '118']",B,"(15 + 12)/9 =3and (44 + 28)/9 =8Therefore, (64 + 53)/9 =13."
Which one will replace the question mark ?,"['40', '38', '44', '39']",B,9 + (2)2=1313 + (3)2=2222 + (4)2=38.
Which one will replace the question mark ?,"['60', '46', '86', '75']",C,"(30 - 24) x 8 =48and (23 - 12) x 8 =88Therefore, (92 - 86) x 8 =48."
Which one will replace the question mark ?,"['25', '37', '41', '47']",C,"(5 x 3) + 4 =19and (6 x 4) + 5 =29Therefore, (7 x 5) + 6 =41"
Which one will replace the question mark ?,"['5', '6', '8', '9']",D,"93 - (27 + 3) =6379 - (38 + 4) =37Therefore, 67 - (16 + X) =42X =9"
Which one will replace the question mark ?,"['3', '2', '7', '6']",B,"Putting the position of the letters in reverse orderP = 11, S = 8, V = 5 and Y = 2."
Which one will replace the question mark ?,"['9', '5', '7', '3']",A,5 x 8 x 10 =400and 6 x 9 x 7 =378Therefore 5 x 7 x ? =315? =9.
Which one will replace the question mark ?,"['8', '32', '4', '16']",C,"(16)2=256Therefore, (2)2=4."
Which one will replace the question mark ?,"['1/2', '2/3', '3/4', '4/5']",D,"From I row, 1 + (1/2) =3/2From II row, 2 + (2/3) =8/3From III row, 3 + ? =19/5? = (19/5) - 3? = (4/5)."
Which one will replace the question mark ?,"['262', '622', '631', '824']",B,(915 - 364) =551(789 - 543) =246(863 - 241) =622.
Which one will replace the question mark ?,"['12', '13', '11', '10']",C,"(4 x8) + 1 = 33(5 x9) + 1 = 46Similarly, (7 x11) + 1 = 78."
Which one will replace the question mark ?,"['20', '26', '25', '75']",B,"(2)2+ (4)2=20(3)2+ (9)2=90Therefore, (1)2+ (5)2=26."
