question,options,answer,explanation
"3, 5, 11, 14, 17, 21","['21', '17', '14', '3']",C,Each of the numbers except 14 is an odd number.The number '14' is the only EVEN number.
"8, 27, 64, 100, 125, 216, 343","['27', '100', '125', '343']",B,"The pattern is 23, 33, 43, 53, 63, 73. But, 100 is not a perfect cube."
"331, 482, 551, 263, 383, 362, 284","['263', '383', '331', '551']",B,"In each number except 383, the product of first and third digits is the middle one."
"835, 734, 642, 751, 853, 981, 532","['751', '853', '981', '532']",A,"In each number except 751, the difference of third and first digit is the middle one."
"41, 43, 47, 53, 61, 71, 73, 81","['61', '71', '73', '81']",D,Each of the numbers except 81 is a prime number.
"3, 5, 7, 12, 17, 19","['19', '17', '5', '12']",D,Each of the numbers is a prime number except 12.
"10, 25, 45, 54, 60, 75, 80","['10', '45', '54', '75']",C,Each of the numbers except 54 is multiple of 5.
"396, 462, 572, 427, 671, 264","['396', '427', '671', '264']",B,"In each number except 427, the middle digit is the sum of other two."
"6, 9, 15, 21, 24, 28, 30","['28', '21', '24', '30']",A,"Each of the numbers except 28, is a multiple of 3."
"1, 4, 9, 16, 23, 25, 36","['9', '23', '25', '36']",B,"Each of the numbers except 23, is perfect square."
"1, 4, 9, 16, 20, 36, 49","['1', '9', '20', '49']",C,"The pattern is 12, 22, 32, 42, 52, 62, 72. But, instead of 52, it is 20 which to be turned out."
"2, 5, 10, 17, 26, 37, 50, 64","['50', '26', '37', '64']",D,"(1*1)+1 , (2*2)+1 , (3*3)+1 , (4*4)+1 , (5*5)+1 , (6*6)+1 , (7*7)+1 , (8*8)+1But, 64 is out of pattern."
"10, 14, 16, 18, 21, 24, 26","['26', '24', '21', '18']",C,Each of the numbers except 21 is an even number.
"16, 25, 36, 72, 144, 196, 225","['36', '72', '196', '225']",B,Each of the numbers except 72 is a perfect square.
