question,options,answer,explanation
"3 pumps, working 8 hours a day, can empty a tank in 2 days. How many hours a day must 4 pumps work to empty the tank in 1 day?","['9', '10', '11', '12']",D,"Let the required number of working hours per day bex.More pumps, Less working hours per day (Indirect Proportion)Less days, More working hours per day (Indirect Proportion)Pumps4:3::8 :xDays1:24 x 1 xx= 3 x 2 x 8x=(3 x 2 x 8)(4)x= 12."
"If the cost ofxmetres of wire is d rupees, then what is the cost ofymetres of wire at the same rate?","['Rs.xyd', 'Rs. (xd)', 'Rs. (yd)', 'Rs.ydx']",D,Cost ofxmetres = Rs. d.Cost of 1 metre = Rs.dxCost ofymetres = Rs.d.y= Rs.yd.xx
"A flagstaff 17.5 m high casts a shadow of length 40.25 m. The height of the building, which casts a shadow of length 28.75 m under similar conditions will be:","['10 m', '12.5 m', '17.5 m', '21.25 m']",B,"Let the height of the buildingxmetres.Less lengthy shadow, Less in the height (Direct Proportion)40.25 : 28.75::17.5 :x40.25 xx= 28.75 x 17.5x=28.75 x 17.540.25x= 12.5"
"In a camp, there is a meal for 120 men or 200 children. If 150 children have taken the meal, how many men will be catered to with remaining meal?","['20', '30', '40', '50']",B,"There is a meal for 200 children. 150 children have taken the meal.Remaining meal is to be catered to 50 children.Now, 200 children120 men.50 children120x 50= 30 men.200"
"An industrial loom weaves 0.128 metres of cloth every second. Approximately, how many seconds will it take for the loom to weave 25 metres of cloth?","['178', '195', '204', '488']",B,"Le the required time bexseconds.More metres, More time (Direct Proportion)0.128 : 25::1 :x0.128x= 25 x 1x=25=25 x 10000.128128x= 195.31.Required time = 195 sec (approximately)."
"4 mat-weavers can weave 4 mats in 4 days. At the same rate, how many mats would be woven by 8 mat-weavers in 8 days?","['4', '8', '12', '16']",D,"Let the required number of bottles bex.More weavers, More mats (Direct Proportion)More days, More mats (Direct Proportion)Wavers4:8::4 :xDays4:84 x 4 xx= 8 x 8 x 4x=(8 x 8 x 4)(4 x 4)x= 16."
"Running at the same constant rate, 6 identical machines can produce a total of 270 bottles per minute. At this rate, how many bottles could 10 such machines produce in 4 minutes?","['648', '1800', '2700', '10800']",B,"Let the required number of bottles bex.More machines, More bottles (Direct Proportion)More minutes, More bottles (Direct Proportion)Machines6:10::270 :xTime (in minutes)1:46 x 1 xx= 10 x 4 x 270x=(10 x 4 x 270)(6)x= 1800."
"A fort had provision of food for 150 men for 45 days. After 10 days, 25 men left the fort. The number of days for which the remaining food will last, is:","['2915', '3714', '42', '54']",C,"After 10 days : 150 men had food for 35 days.Suppose 125 men had food forxdays.Now,Less men, More days (Indirect Proportion)125 : 150::35 :x125 xx= 150 x 35x=150 x 35125x= 42."
"39 persons can repair a road in 12 days, working 5 hours a day. In how many days will 30 persons, working 6 hours a day, complete the work?","['10', '13', '14', '15']",B,"Let the required number of days bex.Less persons, More days (Indirect Proportion)More working hours per day, Less days (Indirect Proportion)Persons30:39::12 :xWorking hours/day6:530 x 6 xx= 39 x 5 x 12x=(39 x 5 x 12)(30 x 6)x= 13."
"A man completesof a job in 10 days. At this rate, how many more days will it takes him to finish the job?","['5', '6', '7', '712']",B,"Work done =58Balance work =1 -5=388Let the required number of days bex.Then,5:3=::10 :x5xx=3x 108888x=3x 10 x885x= 6."
"If a quarter kg of potato costs 60 paise, how many paise will 200 gm cost?","['48 paise', '54 paise', '56 paise', '72 paise']",A,"Let the required weight bexkg.Less weight, Less cost (Direct Proportion)250 : 200::60 :x250 xx= (200 x 60)x=(200 x 60)250x= 48."
"In a dairy farm, 40 cows eat 40 bags of husk in 40 days. In how many days one cow will eat one bag of husk?","['1', '140', '40', '80']",C,"Let the required number of days bex.Less cows, More days (Indirect Proportion)Less bags, Less days (Direct Proportion)Cows1:40::40 :xBags40:11 x 40 xx= 40 x 1 x 40x= 40."
"A wheel that has 6 cogs is meshed with a larger wheel of 14 cogs. When the smaller wheel has made 21 revolutions, then the number of revolutions mad by the larger wheel is:","['4', '9', '12', '49']",B,"Let the required number of revolutions made by larger wheel bex.Then,More cogs, Less revolutions (Indirect Proportion)14 : 6::21 :x14 xx= 6 x 21x=6 x 2114x= 9."
"If 7 spiders make 7 webs in 7 days, then 1 spider will make 1 web in how many days?","['1', '72', '7', '49']",C,"Let the required number days bex.Less spiders, More days (Indirect Proportion)Less webs, Less days (Direct Proportion)Spiders1:7::7 :xWebs7:11 x 7 xx= 7 x 1 x 7x= 7."
